Date,Demand,Net_generation
2015-07-01,641831.0,629652.0
2015-07-02,667457.0,650988.0
2015-07-03,590698.0,584835.0
2015-07-04,594053.0,587257.0
2015-07-05,611571.0,605105.0
2015-07-06,672293.0,664273.0
2015-07-07,723349.0,712087.0
2015-07-08,750809.0,738395.0
2015-07-09,764558.0,743879.0
2015-07-10,790575.0,772119.0
2015-07-11,741596.0,726644.0
2015-07-12,685609.0,677772.0
2015-07-13,726287.0,716284.0
2015-07-14,704784.0,702648.0
2015-07-15,732515.0,730759.0
2015-07-16,726323.0,718626.0
2015-07-17,728950.0,722482.0
2015-07-18,718407.0,714960.0
2015-07-19,689656.0,685504.0
2015-07-20,768114.0,755502.0
2015-07-21,806451.0,790840.0
2015-07-22,770140.0,756128.0
2015-07-23,751115.0,736356.0
2015-07-24,701884.0,694769.0
2015-07-25,659761.0,662222.0
2015-07-26,657612.0,660091.0
2015-07-27,733714.0,731979.0
2015-07-28,755584.0,754620.0
2015-07-29,749127.0,749862.0
2015-07-30,782916.0,771337.0
2015-07-31,765988.0,748799.0
2015-08-01,692896.0,679733.0
2015-08-02,668453.0,664403.0
2015-08-03,717143.0,708436.0
2015-08-04,760599.0,754201.0
2015-08-05,779923.0,768917.0
2015-08-06,743649.0,730465.0
2015-08-07,661973.0,643131.0
2015-08-08,636942.0,625894.0
2015-08-09,631415.0,628286.0
2015-08-10,676928.0,675771.0
2015-08-11,690774.0,691678.0
2015-08-12,694361.0,692250.0
2015-08-13,678823.0,678224.0
2015-08-14,683232.0,677700.0
2015-08-15,648385.0,647688.0
2015-08-16,641903.0,640558.0
2015-08-17,704408.0,699033.0
2015-08-18,692763.0,684528.0
2015-08-19,700481.0,690324.0
2015-08-20,715965.0,697687.0
2015-08-21,717965.0,705866.0
2015-08-22,655682.0,647297.0
2015-08-23,618930.0,614374.0
2015-08-24,698294.0,692268.0
2015-08-25,717105.0,701689.0
2015-08-26,679813.0,665470.0
2015-08-27,649861.0,637414.0
2015-08-28,635498.0,625887.0
2015-08-29,588894.0,585323.0
2015-08-30,566989.0,564121.0
2015-08-31,617586.0,616970.0
2015-09-01,681443.0,676824.0
2015-09-02,720832.0,711536.0
2015-09-03,725730.0,710842.0
2015-09-04,711862.0,696907.0
2015-09-05,623629.0,618303.0
2015-09-06,583409.0,581320.0
2015-09-07,595415.0,590393.0
2015-09-08,658097.0,648233.0
2015-09-09,695444.0,680211.0
2015-09-10,709398.0,685292.0
2015-09-11,663998.0,636351.0
2015-09-12,586475.0,565602.0
2015-09-13,513288.0,502147.0
2015-09-14,518604.0,507178.0
2015-09-15,541076.0,529816.0
2015-09-16,545852.0,533269.0
2015-09-17,571046.0,557137.0
2015-09-18,590669.0,579425.0
2015-09-19,583125.0,578306.0
2015-09-20,580982.0,574572.0
2015-09-21,607285.0,595081.0
2015-09-22,575847.0,563124.0
2015-09-23,570567.0,557607.0
2015-09-24,541438.0,530713.0
2015-09-25,536375.0,521824.0
2015-09-26,502112.0,493874.0
2015-09-27,488261.0,480811.0
2015-09-28,563477.0,553822.0
2015-09-29,616365.0,607649.0
2015-09-30,645776.0,631089.0
2015-10-01,569111.0,553171.0
2015-10-02,505011.0,495664.0
2015-10-03,485235.0,474286.0
2015-10-04,468096.0,454894.0
2015-10-05,487021.0,472420.0
2015-10-06,501075.0,487244.0
2015-10-07,519545.0,511978.0
2015-10-08,536309.0,527382.0
2015-10-09,544717.0,530139.0
2015-10-10,500689.0,498678.0
2015-10-11,457963.0,454974.0
2015-10-12,504975.0,494290.0
2015-10-13,529643.0,517346.0
2015-10-14,526465.0,518059.0
2015-10-15,506890.0,501778.0
2015-10-16,506549.0,506061.0
2015-10-17,473538.0,471288.0
2015-10-18,472784.0,470476.0
2015-10-19,543714.0,534043.0
2015-10-20,555467.0,550724.0
2015-10-21,531316.0,534357.0
2015-10-22,520767.0,529999.0
2015-10-23,513715.0,518631.0
2015-10-24,475128.0,471998.0
