Date,Demand,Net_generation
2015-07-01,758593.0,703376.0
2015-07-02,769539.0,709839.0
2015-07-03,745982.0,686736.0
2015-07-04,715018.0,656346.0
2015-07-05,717407.0,661649.0
2015-07-06,728226.0,671630.0
2015-07-07,726548.0,675544.0
2015-07-08,739158.0,688271.0
2015-07-09,791495.0,733619.0
2015-07-10,806975.0,752576.0
2015-07-11,796678.0,748480.0
2015-07-12,756214.0,708274.0
2015-07-13,783795.0,732871.0
2015-07-14,793579.0,744809.0
2015-07-15,763539.0,714797.0
2015-07-16,720913.0,672072.0
2015-07-17,722944.0,674069.0
2015-07-18,708026.0,659184.0
2015-07-19,724924.0,675537.0
2015-07-20,776541.0,726190.0
2015-07-21,786766.0,733909.0
2015-07-22,786351.0,730871.0
2015-07-23,795871.0,738211.0
2015-07-24,751661.0,691191.0
2015-07-25,681477.0,629679.0
2015-07-26,672664.0,620896.0
2015-07-27,710487.0,655032.0
2015-07-28,747664.0,697363.0
2015-07-29,769018.0,723195.0
2015-07-30,765168.0,715163.0
2015-07-31,749141.0,704260.0
2015-08-01,674117.0,628621.0
2015-08-02,656051.0,607413.0
2015-08-03,669238.0,626140.0
2015-08-04,728352.0,683520.0
2015-08-05,782618.0,731279.0
2015-08-06,788275.0,732630.0
2015-08-07,788941.0,733074.0
2015-08-08,731131.0,680710.0
2015-08-09,731469.0,680698.0
2015-08-10,775223.0,722064.0
2015-08-11,786550.0,731374.0
2015-08-12,799992.0,746862.0
2015-08-13,786892.0,735785.0
2015-08-14,724174.0,677263.0
2015-08-15,697312.0,649190.0
2015-08-16,691964.0,642822.0
2015-08-17,764652.0,711911.0
2015-08-18,784831.0,723866.0
2015-08-19,801451.0,741020.0
2015-08-20,801573.0,746183.0
2015-08-21,801228.0,743943.0
2015-08-22,798637.0,743156.0
2015-08-23,784719.0,725825.0
2015-08-24,799300.0,743536.0
2015-08-25,820742.0,758948.0
2015-08-26,802405.0,736781.0
2015-08-27,698269.0,649381.0
2015-08-28,725845.0,680101.0
2015-08-29,711876.0,666589.0
2015-08-30,661782.0,618394.0
2015-08-31,710920.0,667980.0
2015-09-01,755694.0,712658.0
2015-09-02,794137.0,745408.0
2015-09-03,804085.0,759658.0
2015-09-04,775068.0,736837.0
2015-09-05,693963.0,653205.0
2015-09-06,675629.0,636081.0
2015-09-07,647999.0,609427.0
2015-09-08,710031.0,667550.0
2015-09-09,762463.0,715157.0
2015-09-10,781637.0,734834.0
2015-09-11,797829.0,749048.0
2015-09-12,732561.0,685788.0
2015-09-13,674704.0,645928.0
2015-09-14,701363.0,657513.0
2015-09-15,722425.0,672698.0
2015-09-16,665630.0,618747.0
2015-09-17,639850.0,599374.0
2015-09-18,653786.0,615003.0
2015-09-19,692829.0,651764.0
2015-09-20,717264.0,669266.0
2015-09-21,736287.0,694649.0
2015-09-22,731905.0,691705.0
2015-09-23,705013.0,665054.0
2015-09-24,694663.0,652954.0
2015-09-25,706906.0,662903.0
2015-09-26,691249.0,646355.0
2015-09-27,680435.0,636783.0
2015-09-28,692183.0,653874.0
2015-09-29,693730.0,661533.0
2015-09-30,732551.0,697146.0
2015-10-01,751622.0,712605.0
2015-10-02,730613.0,684871.0
2015-10-03,651773.0,611902.0
