Date,Demand,Net_generation
2015-07-01,2025516.0,1923456.0
2015-07-02,2025929.0,1943647.0
2015-07-03,1923810.0,1814524.0
2015-07-04,1850659.0,1731392.0
2015-07-05,1882186.0,1759871.0
2015-07-06,2175435.0,2075019.0
2015-07-07,2203408.0,2133277.0
2015-07-08,2034423.0,1967878.0
2015-07-09,2085842.0,2008941.0
2015-07-10,2160592.0,2087472.0
2015-07-11,2113191.0,2014166.0
2015-07-12,2165056.0,2056104.0
2015-07-13,2415805.0,2296433.0
2015-07-14,2481264.0,2381570.0
2015-07-15,2319777.0,2237548.0
2015-07-16,2283142.0,2201780.0
2015-07-17,2428728.0,2326368.0
2015-07-18,2407721.0,2313035.0
2015-07-19,2305331.0,2254080.0
2015-07-20,2390657.0,2358204.0
2015-07-21,2367959.0,2333420.0
2015-07-22,2295079.0,2249576.0
2015-07-23,2343286.0,2276719.0
2015-07-24,2422075.0,2346784.0
2015-07-25,2355731.0,2265603.0
2015-07-26,2272906.0,2197486.0
2015-07-27,2481220.0,2420130.0
2015-07-28,2576994.0,2532524.0
2015-07-29,2571112.0,2535413.0
2015-07-30,2438818.0,2405376.0
2015-07-31,2378937.0,2323875.0
2015-08-01,2199829.0,2124404.0
2015-08-02,2205195.0,2111162.0
2015-08-03,2349398.0,2260861.0
2015-08-04,2323349.0,2246452.0
2015-08-05,2289344.0,2206167.0
2015-08-06,2260239.0,2160075.0
2015-08-07,2278980.0,2169360.0
2015-08-08,2196748.0,2090993.0
2015-08-09,2150816.0,2053449.0
2015-08-10,2372291.0,2287785.0
2015-08-11,2362516.0,2302707.0
2015-08-12,2284781.0,2226424.0
2015-08-13,2316312.0,2251592.0
2015-08-14,2400412.0,2317067.0
2015-08-15,2290498.0,2204381.0
2015-08-16,2233322.0,2153113.0
2015-08-17,2356775.0,2280079.0
2015-08-18,2311363.0,2237033.0
2015-08-19,2216358.0,2138415.0
2015-08-20,2057069.0,1974448.0
2015-08-21,2047830.0,1964909.0
2015-08-22,1978052.0,1888080.0
2015-08-23,1928824.0,1847173.0
2015-08-24,2034655.0,1961369.0
2015-08-25,2003535.0,1929984.0
2015-08-26,1969356.0,1878495.0
2015-08-27,1993450.0,1909300.0
2015-08-28,2024407.0,1944975.0
2015-08-29,1953573.0,1853511.0
2015-08-30,1972411.0,1869047.0
2015-08-31,2236288.0,2161590.0
2015-09-01,2385794.0,2309811.0
2015-09-02,2442825.0,2368721.0
2015-09-03,2435127.0,2357592.0
2015-09-04,2417608.0,2343933.0
2015-09-05,2250775.0,2159945.0
2015-09-06,2215448.0,2100451.0
2015-09-07,2205955.0,2081699.0
2015-09-08,2329350.0,2236101.0
2015-09-09,2204251.0,2127739.0
2015-09-10,2099038.0,2020556.0
2015-09-11,1974414.0,1879149.0
2015-09-12,1724717.0,1610984.0
2015-09-13,1610152.0,1484084.0
2015-09-14,1828751.0,1708358.0
2015-09-15,2016842.0,1897668.0
2015-09-16,2105298.0,1983977.0
2015-09-17,2176399.0,2062773.0
2015-09-18,2141295.0,2031917.0
2015-09-19,1926542.0,1818286.0
2015-09-20,1734972.0,1630797.0
2015-09-21,1893860.0,1783501.0
2015-09-22,1968543.0,1828308.0
2015-09-23,1996561.0,1869836.0
2015-09-24,2015666.0,1884886.0
2015-09-25,2008692.0,1855571.0
2015-09-26,1838233.0,1686386.0
2015-09-27,1762280.0,1620018.0
2015-09-28,1985639.0,1859763.0
2015-09-29,2013587.0,1925086.0
2015-09-30,1893849.0,1821097.0
2015-10-01,1829531.0,1736657.0
2015-10-02,1775535.0,1681256.0
2015-10-03,1643898.0,1532756.0
2015-10-04,1581034.0,1474849.0
2015-10-05,1768241.0,1661134.0
2015-10-06,1873158.0,1791018.0
2015-10-07,1900175.0,1812082.0
2015-10-08,1920546.0,1841311.0
2015-10-09,1886033.0,1842728.0
2015-10-10,1692015.0,1635119.0
2015-10-11,1618204.0,1515193.0
2015-10-12,1818425.0,1734148.0
2015-10-13,1856060.0,1759230.0
2015-10-14,1821819.0,1731274.0
2015-10-15,1831261.0,1732513.0
2015-10-16,1819013.0,1747796.0
2015-10-17,1694893.0,1637708.0
2015-10-18,1627153.0,1581780.0
2015-10-19,1774220.0,1733314.0
2015-10-20,1815806.0,1758676.0
2015-10-21,1845360.0,1788295.0
2015-10-22,1822819.0,1789111.0
2015-10-23,1799380.0,1783437.0
2015-10-24,1665962.0,1614917.0
2015-10-25,1555109.0,1493607.0
2015-10-26,1713046.0,1666205.0
2015-10-27,1753833.0,1696866.0
2015-10-28,1764477.0,1693509.0
2015-10-29,1778486.0,1701291.0
2015-10-30,1775436.0,1671995.0
2015-10-31,1656441.0,1569703.0
2015-11-01,1533118.0,1449140.0
2015-11-02,1683922.0,1602154.0
2015-11-03,1742604.0,1674035.0
2015-11-04,1749166.0,1686549.0
2015-11-05,1774469.0,1725390.0
2015-11-06,1784416.0,1739342.0
2015-11-07,1655494.0,1592190.0
2015-11-08,1591793.0,1534315.0
2015-11-09,1736923.0,1699849.0
2015-11-10,1777261.0,1742966.0
2015-11-11,1773685.0,1725906.0
