Date,Demand,Net_generation
2015-07-01,715735.0,769027.0
2015-07-02,723985.0,777439.0
2015-07-03,709478.0,761984.0
2015-07-04,649653.0,696509.0
2015-07-05,608883.0,655377.0
2015-07-06,704420.0,753176.0
2015-07-07,783562.0,843262.0
2015-07-08,822058.0,866037.0
2015-07-09,839670.0,884769.0
2015-07-10,847991.0,884369.0
2015-07-11,819298.0,845623.0
2015-07-12,805466.0,831952.0
2015-07-13,848392.0,888588.0
2015-07-14,876915.0,916194.0
2015-07-15,833922.0,871781.0
2015-07-16,830751.0,867593.0
2015-07-17,838502.0,882200.0
2015-07-18,817757.0,861714.0
2015-07-19,809490.0,851220.0
2015-07-20,832293.0,895608.0
2015-07-21,884426.0,946374.0
2015-07-22,851795.0,902848.0
2015-07-23,827309.0,877230.0
2015-07-24,826568.0,875773.0
2015-07-25,798709.0,848607.0
2015-07-26,787469.0,830611.0
2015-07-27,841344.0,885376.0
2015-07-28,876749.0,922160.0
2015-07-29,879497.0,932681.0
2015-07-30,876748.0,931075.0
2015-07-31,844898.0,933948.0
2015-08-01,222702.0,256632.0
2015-08-02,15345.0,22567.0
2015-08-03,15991.0,26434.0
2015-08-04,16334.0,27306.0
2015-08-05,15359.0,27086.0
2015-08-06,15181.0,25408.0
2015-08-07,16033.0,23971.0
2015-08-08,14907.0,20935.0
2015-08-09,15009.0,21592.0
2015-08-10,16233.0,26711.0
2015-08-11,16142.0,26501.0
2015-08-12,16014.0,27889.0
2015-08-13,15150.0,27005.0
2015-08-14,14638.0,20633.0
2015-08-15,14094.0,19810.0
2015-08-16,13330.0,19264.0
2015-08-17,563798.0,608703.0
2015-08-18,748528.0,810889.0
2015-08-19,205627.0,222817.0
2015-08-20,14215.0,22386.0
2015-08-21,14874.0,21329.0
2015-08-22,14769.0,20695.0
2015-08-23,15920.0,21758.0
2015-08-24,15650.0,25100.0
2015-08-25,15222.0,25989.0
2015-08-26,12795.0,23590.0
2015-08-27,12991.0,23254.0
2015-08-28,544074.0,579701.0
2015-08-29,689846.0,737936.0
2015-08-30,644312.0,694455.0
2015-08-31,697886.0,748412.0
2015-09-01,757795.0,813450.0
2015-09-02,782755.0,842100.0
2015-09-03,786031.0,844041.0
2015-09-04,778679.0,826373.0
2015-09-05,742020.0,780567.0
2015-09-06,688323.0,730314.0
2015-09-07,672218.0,719441.0
2015-09-08,718585.0,779419.0
2015-09-09,761139.0,823103.0
2015-09-10,753793.0,806379.0
2015-09-11,720420.0,776086.0
2015-09-12,646439.0,696141.0
2015-09-13,555438.0,599827.0
2015-09-14,582850.0,627654.0
