Date,Demand,Net_generation
2015-07-01,352908.0,465438.0
2015-07-02,344714.0,458938.0
2015-07-03,330499.0,437559.0
2015-07-04,321381.0,422017.0
2015-07-05,316237.0,412355.0
2015-07-06,318456.0,423697.0
2015-07-07,337613.0,438441.0
2015-07-08,332112.0,434355.0
2015-07-09,313034.0,420813.0
2015-07-10,300594.0,399760.0
2015-07-11,340071.0,441056.0
2015-07-12,339832.0,430599.0
2015-07-13,333685.0,427195.0
2015-07-14,345180.0,438853.0
2015-07-15,374317.0,483899.0
2015-07-16,380675.0,489744.0
2015-07-17,375806.0,495210.0
2015-07-18,316940.0,410317.0
2015-07-19,293160.0,393939.0
2015-07-20,325035.0,426694.0
2015-07-21,372250.0,476259.0
2015-07-22,370551.0,473144.0
2015-07-23,331680.0,424935.0
2015-07-24,339411.0,427345.0
2015-07-25,333645.0,425727.0
2015-07-26,359075.0,449286.0
2015-07-27,377874.0,471358.0
2015-07-28,390660.0,490518.0
2015-07-29,338836.0,448078.0
2015-07-30,367341.0,493603.0
2015-07-31,386041.0,508256.0
2015-08-01,316370.0,421645.0
2015-08-02,329404.0,420946.0
2015-08-03,347287.0,439228.0
2015-08-04,355113.0,434317.0
2015-08-05,359858.0,447295.0
2015-08-06,362581.0,456434.0
2015-08-07,353229.0,454133.0
2015-08-08,323326.0,412920.0
2015-08-09,329073.0,406174.0
2015-08-10,341519.0,430474.0
2015-08-11,336008.0,431014.0
2015-08-12,329083.0,434466.0
2015-08-13,359457.0,466388.0
2015-08-14,378489.0,474595.0
2015-08-15,419326.0,499240.0
2015-08-16,413777.0,498855.0
2015-08-17,423440.0,522815.0
2015-08-18,405617.0,507070.0
2015-08-19,389515.0,497105.0
2015-08-20,395443.0,498932.0
2015-08-21,397406.0,510401.0
2015-08-22,391988.0,505867.0
2015-08-23,372856.0,476224.0
2015-08-24,388165.0,495210.0
2015-08-25,383234.0,501914.0
2015-08-26,363548.0,488884.0
2015-08-27,386948.0,510988.0
2015-08-28,368047.0,483821.0
2015-08-29,383303.0,484792.0
2015-08-30,373658.0,469253.0
2015-08-31,385201.0,482712.0
2015-09-01,369115.0,480597.0
2015-09-02,366893.0,480541.0
2015-09-03,357215.0,466228.0
2015-09-04,334541.0,443211.0
2015-09-05,322180.0,416491.0
2015-09-06,331315.0,410542.0
2015-09-07,345788.0,423807.0
2015-09-08,361902.0,454598.0
2015-09-09,357453.0,474757.0
2015-09-10,344853.0,479647.0
2015-09-11,336702.0,472077.0
2015-09-12,355533.0,485515.0
2015-09-13,358670.0,472096.0
2015-09-14,351710.0,467668.0
2015-09-15,347639.0,467384.0
2015-09-16,342101.0,453948.0
2015-09-17,336465.0,441415.0
2015-09-18,337060.0,437127.0
2015-09-19,326475.0,436531.0
2015-09-20,336320.0,447615.0
2015-09-21,342896.0,473006.0
2015-09-22,307053.0,437392.0
2015-09-23,312630.0,440655.0
2015-09-24,338821.0,463262.0
2015-09-25,347248.0,466422.0
2015-09-26,340912.0,453845.0
2015-09-27,330272.0,440249.0
2015-09-28,346964.0,457418.0
2015-09-29,348342.0,449135.0
2015-09-30,349576.0,454125.0
2015-10-01,346395.0,448315.0
2015-10-02,332467.0,435222.0
2015-10-03,294380.0,400092.0
2015-10-04,283502.0,391868.0
2015-10-05,288319.0,404073.0
2015-10-06,271773.0,391544.0
2015-10-07,253655.0,383664.0
2015-10-08,265607.0,406231.0
2015-10-09,286910.0,425583.0
2015-10-10,283397.0,407019.0
2015-10-11,283958.0,387582.0
2015-10-12,299224.0,414077.0
2015-10-13,305175.0,429924.0
2015-10-14,308812.0,425930.0
2015-10-15,308399.0,426682.0
2015-10-16,302450.0,404388.0
2015-10-17,266279.0,363777.0
2015-10-18,267777.0,358199.0
2015-10-19,273244.0,368262.0
2015-10-20,269384.0,359351.0
2015-10-21,247651.0,352437.0
2015-10-22,247415.0,362359.0
2015-10-23,249192.0,360988.0
2015-10-24,246642.0,348615.0
2015-10-25,247060.0,337995.0
2015-10-26,260146.0,351160.0
2015-10-27,262182.0,354146.0
2015-10-28,256212.0,355921.0
2015-10-29,254858.0,345331.0
2015-10-30,243343.0,333167.0
2015-10-31,233300.0,315471.0
2015-11-01,229214.0,295453.0
2015-11-02,244430.0,318612.0
2015-11-03,247994.0,335675.0
2015-11-04,240467.0,339174.0
2015-11-05,238696.0,337063.0
2015-11-06,238894.0,334222.0
2015-11-07,231668.0,318590.0
2015-11-08,228549.0,305632.0
2015-11-09,239190.0,319351.0
2015-11-10,240750.0,329174.0
2015-11-11,245935.0,340742.0
2015-11-12,246644.0,340233.0
2015-11-13,244785.0,339056.0
2015-11-14,238532.0,327910.0
2015-11-15,233221.0,319266.0
2015-11-16,245337.0,329574.0
2015-11-17,256514.0,352185.0
2015-11-18,254681.0,358352.0
2015-11-19,252444.0,354588.0
2015-11-20,246914.0,357896.0
2015-11-21,236884.0,347423.0
2015-11-22,234823.0,335569.0
2015-11-23,245219.0,347476.0
2015-11-24,246943.0,348660.0
2015-11-25,244471.0,347109.0
2015-11-26,239157.0,326717.0
2015-11-27,236386.0,325260.0
2015-11-28,247534.0,346143.0
2015-11-29,248441.0,335905.0
2015-11-30,266725.0,365230.0
2015-12-01,275300.0,377055.0
2015-12-02,277178.0,356715.0
2015-12-03,267756.0,344593.0
2015-12-04,262420.0,332198.0
2015-12-05,251571.0,329513.0
2015-12-06,248408.0,322794.0
2015-12-07,255134.0,336047.0
2015-12-08,259500.0,349574.0
2015-12-09,259534.0,351863.0
2015-12-10,255701.0,349599.0
2015-12-11,254068.0,350877.0
2015-12-12,255447.0,331618.0
2015-12-13,263729.0,330575.0
2015-12-14,277580.0,347680.0
2015-12-15,293620.0,373677.0
2015-12-16,299682.0,382417.0
2015-12-17,301072.0,389617.0
2015-12-18,294700.0,382256.0
2015-12-19,270397.0,355642.0
2015-12-20,258308.0,337811.0
2015-12-21,268342.0,348983.0
2015-12-22,278728.0,355572.0
2015-12-23,267664.0,348147.0
2015-12-24,258446.0,344159.0
2015-12-25,243069.0,333470.0
2015-12-26,261674.0,347684.0
2015-12-27,279641.0,361489.0
2015-12-28,284698.0,369707.0
2015-12-29,285203.0,377258.0
2015-12-30,289649.0,377354.0
2015-12-31,286732.0,377440.0
2016-01-01,272508.0,347952.0
2016-01-02,260423.0,329500.0
2016-01-03,253813.0,322835.0
2016-01-04,263012.0,328657.0
2016-01-05,273408.0,350013.0
2016-01-06,269458.0,350360.0
2016-01-07,279397.0,372810.0
2016-01-08,290026.0,381779.0
2016-01-09,278337.0,365652.0
2016-01-10,275350.0,356752.0
2016-01-11,284481.0,358902.0
2016-01-12,289585.0,354589.0
2016-01-13,283290.0,348178.0
2016-01-14,279929.0,344376.0
2016-01-15,282174.0,348359.0
2016-01-16,275588.0,345955.0
2016-01-17,259114.0,323650.0
2016-01-18,264487.0,325944.0
2016-01-19,266667.0,339895.0
2016-01-20,255724.0,331113.0
2016-01-21,258010.0,336578.0
2016-01-22,260622.0,333729.0
2016-01-23,248942.0,318407.0
2016-01-24,242536.0,306027.0
2016-01-25,256800.0,324042.0
2016-01-26,262790.0,329992.0
2016-01-27,263831.0,336424.0
2016-01-28,263429.0,332066.0
2016-01-29,259845.0,328120.0
2016-01-30,247161.0,313700.0
2016-01-31,235336.0,298325.0
2016-02-01,261382.0,320946.0
2016-02-02,289403.0,347986.0
2016-02-03,293950.0,345288.0
2016-02-04,293241.0,350804.0
2016-02-05,272936.0,332820.0
2016-02-06,261914.0,316621.0
2016-02-07,248448.0,302297.0
2016-02-08,245223.0,295522.0
2016-02-09,246562.0,303107.0
2016-02-10,246390.0,298071.0
2016-02-11,246201.0,304570.0
2016-02-12,245771.0,305981.0
2016-02-13,235436.0,289140.0
2016-02-14,228346.0,276502.0
2016-02-15,235668.0,288589.0
2016-02-16,242901.0,289417.0
2016-02-17,243661.0,289116.0
2016-02-18,244973.0,300532.0
2016-02-19,242198.0,292484.0
2016-02-20,232036.0,275866.0
2016-02-21,226887.0,275892.0
2016-02-22,237303.0,289603.0
2016-02-23,241548.0,297196.0
2016-02-24,247731.0,301914.0
2016-02-25,243973.0,300517.0
2016-02-26,243927.0,299845.0
2016-02-27,233936.0,288037.0
2016-02-28,227522.0,282276.0
2016-02-29,236922.0,293238.0
2016-03-01,242866.0,301858.0
2016-03-02,244460.0,304124.0
2016-03-03,246483.0,307374.0
2016-03-04,243824.0,306883.0
2016-03-05,235404.0,292796.0
2016-03-06,227657.0,279051.0
2016-03-07,233978.0,292367.0
