ds,y
2015-07-01,916513.0
2015-07-02,964443.0
2015-07-03,904339.0
2015-07-04,863264.0
2015-07-05,801034.0
2015-07-06,834762.0
2015-07-07,867973.0
2015-07-08,847050.0
2015-07-09,821917.0
2015-07-10,807094.0
2015-07-11,781992.0
2015-07-12,770307.0
2015-07-13,841314.0
2015-07-14,892302.0
2015-07-15,876537.0
2015-07-16,899990.0
2015-07-17,913299.0
2015-07-18,876180.0
2015-07-19,805433.0
2015-07-20,923699.0
2015-07-21,965148.0
2015-07-22,920525.0
2015-07-23,883976.0
2015-07-24,887032.0
2015-07-25,866859.0
2015-07-26,830195.0
2015-07-27,857168.0
2015-07-28,920946.0
2015-07-29,978934.0
2015-07-30,1001166.0
2015-07-31,988459.0
2015-08-01,915273.0
2015-08-02,851363.0
2015-08-03,894140.0
2015-08-04,916282.0
2015-08-05,918919.0
2015-08-06,954343.0
2015-08-07,906710.0
2015-08-08,836393.0
2015-08-09,781577.0
2015-08-10,836912.0
2015-08-11,865945.0
2015-08-12,883742.0
2015-08-13,953261.0
2015-08-14,978366.0
2015-08-15,964526.0
2015-08-16,966982.0
2015-08-17,1031277.0
2015-08-18,995742.0
2015-08-19,940616.0
2015-08-20,910466.0
2015-08-21,896737.0
2015-08-22,850208.0
2015-08-23,822975.0
2015-08-24,898619.0
2015-08-25,955303.0
2015-08-26,969103.0
2015-08-27,1024053.0
2015-08-28,1065001.0
2015-08-29,1016960.0
2015-08-30,910540.0
2015-08-31,906504.0
2015-09-01,922793.0
2015-09-02,894402.0
2015-09-03,856159.0
2015-09-04,826288.0
2015-09-05,769587.0
2015-09-06,749971.0
2015-09-07,811195.0
2015-09-08,964687.0
2015-09-09,1080061.0
2015-09-10,1097899.0
2015-09-11,1086688.0
2015-09-12,982598.0
2015-09-13,889370.0
2015-09-14,924576.0
2015-09-15,893588.0
2015-09-16,833170.0
2015-09-17,811497.0
2015-09-18,834338.0
2015-09-19,837906.0
2015-09-20,860902.0
2015-09-21,973883.0
2015-09-22,926838.0
2015-09-23,879385.0
2015-09-24,919291.0
2015-09-25,959359.0
2015-09-26,927530.0
2015-09-27,864033.0
2015-09-28,883211.0
2015-09-29,873565.0
2015-09-30,851248.0
2015-10-01,856173.0
2015-10-02,833360.0
2015-10-03,776134.0
2015-10-04,707766.0
2015-10-05,720737.0
2015-10-06,762375.0
2015-10-07,789172.0
2015-10-08,830398.0
