ds,y
2015-07-01,763675.0
2015-07-02,774333.0
2015-07-03,691318.0
2015-07-04,669451.0
2015-07-05,693225.0
2015-07-06,779716.0
2015-07-07,689620.0
2015-07-08,644619.0
2015-07-09,667463.0
2015-07-10,706502.0
2015-07-11,732438.0
2015-07-12,772364.0
2015-07-13,856912.0
2015-07-14,876671.0
2015-07-15,860944.0
2015-07-16,850087.0
2015-07-17,870352.0
2015-07-18,834141.0
2015-07-19,808786.0
2015-07-20,841883.0
2015-07-21,791347.0
2015-07-22,767293.0
2015-07-23,828451.0
2015-07-24,878796.0
2015-07-25,850716.0
2015-07-26,819976.0
2015-07-27,876685.0
2015-07-28,903050.0
2015-07-29,864462.0
2015-07-30,835170.0
2015-07-31,816073.0
2015-08-01,773952.0
2015-08-02,759555.0
2015-08-03,807922.0
2015-08-04,791679.0
2015-08-05,773040.0
2015-08-06,811382.0
2015-08-07,855894.0
2015-08-08,826283.0
2015-08-09,809435.0
2015-08-10,835638.0
2015-08-11,817848.0
2015-08-12,792133.0
2015-08-13,792285.0
2015-08-14,801108.0
2015-08-15,765011.0
2015-08-16,753308.0
2015-08-17,782735.0
2015-08-18,763635.0
2015-08-19,683768.0
2015-08-20,638942.0
2015-08-21,684086.0
2015-08-22,703310.0
2015-08-23,668786.0
2015-08-24,673596.0
2015-08-25,708594.0
2015-08-26,736723.0
2015-08-27,739682.0
2015-08-28,718457.0
2015-08-29,684800.0
2015-08-30,678367.0
2015-08-31,753287.0
2015-09-01,793729.0
2015-09-02,802364.0
2015-09-03,817230.0
2015-09-04,818018.0
2015-09-05,781918.0
2015-09-06,775139.0
2015-09-07,765843.0
2015-09-08,767267.0
2015-09-09,727711.0
2015-09-10,734717.0
2015-09-11,683740.0
2015-09-12,580168.0
2015-09-13,562324.0
2015-09-14,642582.0
2015-09-15,678210.0
2015-09-16,732382.0
2015-09-17,766035.0
2015-09-18,732666.0
2015-09-19,601324.0
2015-09-20,555124.0
2015-09-21,616207.0
2015-09-22,675801.0
2015-09-23,674659.0
2015-09-24,657160.0
2015-09-25,659071.0
2015-09-26,608378.0
2015-09-27,586727.0
2015-09-28,642236.0
2015-09-29,648549.0
2015-09-30,616532.0
2015-10-01,633309.0
2015-10-02,616050.0
2015-10-03,569687.0
