ds,y
2015-07-01,768186.0
2015-07-02,776053.0
2015-07-03,693430.0
2015-07-04,669151.0
2015-07-05,696383.0
2015-07-06,783218.0
2015-07-07,699173.0
2015-07-08,649217.0
2015-07-09,674387.0
2015-07-10,714963.0
2015-07-11,741602.0
2015-07-12,773373.0
2015-07-13,855272.0
2015-07-14,874282.0
2015-07-15,864690.0
2015-07-16,849827.0
2015-07-17,868054.0
2015-07-18,844428.0
2015-07-19,815678.0
2015-07-20,848815.0
2015-07-21,801854.0
2015-07-22,778878.0
2015-07-23,834137.0
2015-07-24,885982.0
2015-07-25,861780.0
2015-07-26,830931.0
2015-07-27,885620.0
2015-07-28,916792.0
2015-07-29,875686.0
2015-07-30,843340.0
2015-07-31,824240.0
2015-08-01,780617.0
2015-08-02,767917.0
2015-08-03,815337.0
2015-08-04,801279.0
2015-08-05,788573.0
2015-08-06,820181.0
2015-08-07,865332.0
2015-08-08,840204.0
2015-08-09,821546.0
2015-08-10,847330.0
2015-08-11,827421.0
2015-08-12,803147.0
2015-08-13,807031.0
2015-08-14,815205.0
2015-08-15,778840.0
2015-08-16,765346.0
2015-08-17,796382.0
2015-08-18,775858.0
2015-08-19,695036.0
2015-08-20,647036.0
2015-08-21,692417.0
2015-08-22,707278.0
2015-08-23,675335.0
2015-08-24,673126.0
2015-08-25,707183.0
2015-08-26,731880.0
2015-08-27,740847.0
2015-08-28,724985.0
2015-08-29,690632.0
2015-08-30,678312.0
2015-08-31,758476.0
2015-09-01,809683.0
2015-09-02,820912.0
2015-09-03,837875.0
2015-09-04,833859.0
2015-09-05,789890.0
2015-09-06,778545.0
2015-09-07,774239.0
2015-09-08,779078.0
2015-09-09,737835.0
2015-09-10,739700.0
2015-09-11,687273.0
2015-09-12,585943.0
2015-09-13,576105.0
2015-09-14,650584.0
2015-09-15,687516.0
2015-09-16,740310.0
2015-09-17,776675.0
2015-09-18,745251.0
2015-09-19,615297.0
2015-09-20,564996.0
2015-09-21,628680.0
2015-09-22,688617.0
2015-09-23,682891.0
2015-09-24,664717.0
2015-09-25,668844.0
2015-09-26,612932.0
2015-09-27,589946.0
2015-09-28,649165.0
2015-09-29,656696.0
2015-09-30,627795.0
2015-10-01,650513.0
2015-10-02,640821.0
2015-10-03,589707.0
2015-10-04,571588.0
2015-10-05,618829.0
2015-10-06,646922.0
2015-10-07,673481.0
2015-10-08,688267.0
