ds,y
2015-07-01,703376.0
2015-07-02,709839.0
2015-07-03,686736.0
2015-07-04,656346.0
2015-07-05,661649.0
2015-07-06,671630.0
2015-07-07,675544.0
2015-07-08,688271.0
2015-07-09,733619.0
2015-07-10,752576.0
2015-07-11,748480.0
2015-07-12,708274.0
2015-07-13,732871.0
2015-07-14,744809.0
2015-07-15,714797.0
2015-07-16,672072.0
2015-07-17,674069.0
2015-07-18,659184.0
2015-07-19,675537.0
2015-07-20,726190.0
2015-07-21,733909.0
2015-07-22,730871.0
2015-07-23,738211.0
2015-07-24,691191.0
2015-07-25,629679.0
2015-07-26,620896.0
2015-07-27,655032.0
2015-07-28,697363.0
2015-07-29,723195.0
2015-07-30,715163.0
2015-07-31,704260.0
2015-08-01,628621.0
2015-08-02,607413.0
2015-08-03,626140.0
2015-08-04,683520.0
2015-08-05,731279.0
2015-08-06,732630.0
2015-08-07,733074.0
2015-08-08,680710.0
2015-08-09,680698.0
2015-08-10,722064.0
2015-08-11,731374.0
2015-08-12,746862.0
2015-08-13,735785.0
2015-08-14,677263.0
2015-08-15,649190.0
2015-08-16,642822.0
2015-08-17,711911.0
2015-08-18,723866.0
2015-08-19,741020.0
2015-08-20,746183.0
2015-08-21,743943.0
2015-08-22,743156.0
2015-08-23,725825.0
2015-08-24,743536.0
2015-08-25,758948.0
2015-08-26,736781.0
2015-08-27,649381.0
2015-08-28,680101.0
2015-08-29,666589.0
2015-08-30,618394.0
2015-08-31,667980.0
2015-09-01,712658.0
2015-09-02,745408.0
2015-09-03,759658.0
2015-09-04,736837.0
2015-09-05,653205.0
2015-09-06,636081.0
2015-09-07,609427.0
2015-09-08,667550.0
2015-09-09,715157.0
2015-09-10,734834.0
2015-09-11,749048.0
2015-09-12,685788.0
2015-09-13,645928.0
2015-09-14,657513.0
2015-09-15,672698.0
2015-09-16,618747.0
2015-09-17,599374.0
2015-09-18,615003.0
2015-09-19,651764.0
2015-09-20,669266.0
2015-09-21,694649.0
2015-09-22,691705.0
2015-09-23,665054.0
2015-09-24,652954.0
2015-09-25,662903.0
2015-09-26,646355.0
2015-09-27,636783.0
2015-09-28,653874.0
2015-09-29,661533.0
