ds,y
2015-07-01,413508.0
2015-07-02,393280.0
2015-07-03,359859.0
2015-07-04,353786.0
2015-07-05,359062.0
2015-07-06,420469.0
2015-07-07,472081.0
2015-07-08,467061.0
2015-07-09,422344.0
2015-07-10,417151.0
2015-07-11,402925.0
2015-07-12,409160.0
2015-07-13,455855.0
2015-07-14,453181.0
2015-07-15,441050.0
2015-07-16,402046.0
2015-07-17,409724.0
2015-07-18,421100.0
2015-07-19,459064.0
2015-07-20,526731.0
2015-07-21,523353.0
2015-07-22,465096.0
2015-07-23,437643.0
2015-07-24,429009.0
2015-07-25,410674.0
2015-07-26,413677.0
2015-07-27,462392.0
2015-07-28,504827.0
2015-07-29,540536.0
2015-07-30,551288.0
2015-07-31,504540.0
2015-08-01,441692.0
2015-08-02,412196.0
2015-08-03,474736.0
2015-08-04,480933.0
2015-08-05,458218.0
2015-08-06,431082.0
2015-08-07,431626.0
2015-08-08,398202.0
2015-08-09,391204.0
2015-08-10,437249.0
2015-08-11,450411.0
2015-08-12,434913.0
2015-08-13,419415.0
2015-08-14,427976.0
2015-08-15,425560.0
2015-08-16,423142.0
2015-08-17,495213.0
2015-08-18,516669.0
2015-08-19,504190.0
2015-08-20,496992.0
2015-08-21,458731.0
2015-08-22,392677.0
2015-08-23,375260.0
2015-08-24,435510.0
2015-08-25,449232.0
2015-08-26,420194.0
2015-08-27,395191.0
2015-08-28,381453.0
2015-08-29,373162.0
2015-08-30,390262.0
2015-08-31,465197.0
2015-09-01,486241.0
2015-09-02,505617.0
2015-09-03,510381.0
2015-09-04,469069.0
2015-09-05,387968.0
2015-09-06,370596.0
2015-09-07,404060.0
2015-09-08,491898.0
2015-09-09,511259.0
2015-09-10,458195.0
2015-09-11,413456.0
2015-09-12,363687.0
2015-09-13,362813.0
2015-09-14,385818.0
2015-09-15,388190.0
2015-09-16,403620.0
2015-09-17,413109.0
2015-09-18,420251.0
2015-09-19,390756.0
2015-09-20,354920.0
2015-09-21,352238.0
2015-09-22,362304.0
2015-09-23,356604.0
2015-09-24,364317.0
2015-09-25,375572.0
2015-09-26,333614.0
2015-09-27,337859.0
2015-09-28,400703.0
2015-09-29,432205.0
2015-09-30,434007.0
2015-10-01,376550.0
2015-10-02,367326.0
2015-10-03,346555.0
2015-10-04,327988.0
2015-10-05,378049.0
2015-10-06,387017.0
2015-10-07,383862.0
2015-10-08,382243.0
2015-10-09,389656.0
2015-10-10,347800.0
2015-10-11,332673.0
2015-10-12,360804.0
2015-10-13,386774.0
2015-10-14,381001.0
2015-10-15,375991.0
2015-10-16,384414.0
2015-10-17,354738.0
2015-10-18,358525.0
2015-10-19,396202.0
2015-10-20,405078.0
2015-10-21,397764.0
2015-10-22,393424.0
2015-10-23,373015.0
2015-10-24,360570.0
2015-10-25,348814.0
2015-10-26,374961.0
2015-10-27,376800.0
2015-10-28,387240.0
2015-10-29,372618.0
2015-10-30,368245.0
2015-10-31,332596.0
2015-11-01,326287.0
2015-11-02,361209.0
2015-11-03,365350.0
2015-11-04,359117.0
2015-11-05,364991.0
2015-11-06,374562.0
2015-11-07,339570.0
2015-11-08,326813.0
2015-11-09,357221.0
2015-11-10,377462.0
2015-11-11,370359.0
2015-11-12,370009.0
2015-11-13,369617.0
2015-11-14,358053.0
2015-11-15,336769.0
2015-11-16,352477.0
2015-11-17,361683.0
2015-11-18,376786.0
2015-11-19,370894.0
2015-11-20,356986.0
2015-11-21,344533.0
2015-11-22,354309.0
2015-11-23,380117.0
2015-11-24,393209.0
2015-11-25,381428.0
2015-11-26,347105.0
2015-11-27,334996.0
2015-11-28,327792.0
2015-11-29,329018.0
2015-11-30,361525.0
2015-12-01,358995.0
2015-12-02,352567.0
2015-12-03,350559.0
2015-12-04,356965.0
2015-12-05,324385.0
2015-12-06,309440.0
2015-12-07,328226.0
2015-12-08,336416.0
2015-12-09,349032.0
2015-12-10,356956.0
2015-12-11,352322.0
2015-12-12,336081.0
2015-12-13,313178.0
2015-12-14,350402.0
2015-12-15,363552.0
2015-12-16,357995.0
2015-12-17,362460.0
2015-12-18,362658.0
2015-12-19,353538.0
2015-12-20,354540.0
2015-12-21,385720.0
2015-12-22,373134.0
2015-12-23,365089.0
2015-12-24,349857.0
2015-12-25,325232.0
2015-12-26,312438.0
2015-12-27,325031.0
2015-12-28,353132.0
2015-12-29,387049.0
2015-12-30,365750.0
2015-12-31,358332.0
2016-01-01,343360.0
2016-01-02,352731.0
2016-01-03,349272.0
2016-01-04,378142.0
2016-01-05,415639.0
2016-01-06,377868.0
2016-01-07,387578.0
2016-01-08,383266.0
2016-01-09,353707.0
2016-01-10,341802.0
2016-01-11,370130.0
2016-01-12,386543.0
2016-01-13,391932.0
2016-01-14,379548.0
2016-01-15,352777.0
2016-01-16,332215.0
2016-01-17,327803.0
2016-01-18,360163.0
2016-01-19,383091.0
2016-01-20,378947.0
2016-01-21,361138.0
2016-01-22,368155.0
2016-01-23,363308.0
2016-01-24,340823.0
2016-01-25,356889.0
2016-01-26,377840.0
2016-01-27,372656.0
2016-01-28,373730.0
2016-01-29,365679.0
2016-01-30,346938.0
2016-01-31,328217.0
2016-02-01,358210.0
2016-02-02,345561.0
2016-02-03,360911.0
2016-02-04,350238.0
2016-02-05,354843.0
2016-02-06,348673.0
2016-02-07,335703.0
2016-02-08,371204.0
2016-02-09,380999.0
2016-02-10,392380.0
2016-02-11,411752.0
2016-02-12,410060.0
2016-02-13,387010.0
2016-02-14,412218.0
2016-02-15,418430.0
2016-02-16,367592.0
2016-02-17,362168.0
2016-02-18,375879.0
2016-02-19,393110.0
2016-02-20,351664.0
2016-02-21,317202.0
2016-02-22,341072.0
2016-02-23,368272.0
2016-02-24,368589.0
2016-02-25,353984.0
2016-02-26,367474.0
2016-02-27,355987.0
2016-02-28,329289.0
2016-02-29,353591.0
2016-03-01,356012.0
2016-03-02,373977.0
2016-03-03,387134.0
2016-03-04,391043.0
2016-03-05,365254.0
2016-03-06,349742.0
2016-03-07,372954.0
2016-03-08,329955.0
2016-03-09,327928.0
2016-03-10,324818.0
2016-03-11,324161.0
2016-03-12,299256.0
2016-03-13,286755.0
2016-03-14,330751.0
2016-03-15,343301.0
2016-03-16,325720.0
2016-03-17,328751.0
2016-03-18,328336.0
2016-03-19,315546.0
2016-03-20,318620.0
2016-03-21,358612.0
2016-03-22,349762.0
2016-03-23,345561.0
2016-03-24,351322.0
2016-03-25,347344.0
2016-03-26,314656.0
2016-03-27,308638.0
2016-03-28,341049.0
2016-03-29,347706.0
2016-03-30,340838.0
2016-03-31,345278.0
2016-04-01,346589.0
2016-04-02,322892.0
2016-04-03,334235.0
2016-04-04,361780.0
2016-04-05,380034.0
2016-04-06,371616.0
2016-04-07,370678.0
2016-04-08,367501.0
2016-04-09,348013.0
2016-04-10,336827.0
2016-04-11,351949.0
2016-04-12,341126.0
2016-04-13,323273.0
2016-04-14,327243.0
2016-04-15,327143.0
2016-04-16,289059.0
2016-04-17,272486.0
2016-04-18,298228.0
2016-04-19,315898.0
2016-04-20,314809.0
2016-04-21,308394.0
2016-04-22,315516.0
2016-04-23,295916.0
2016-04-24,275706.0
2016-04-25,305930.0
2016-04-26,306457.0
2016-04-27,299219.0
2016-04-28,303495.0
2016-04-29,313914.0
2016-04-30,275565.0
2016-05-01,294912.0
2016-05-02,333728.0
2016-05-03,345496.0
2016-05-04,347053.0
2016-05-05,350132.0
2016-05-06,347299.0
2016-05-07,316252.0
2016-05-08,317492.0
2016-05-09,347779.0
2016-05-10,347900.0
2016-05-11,348249.0
2016-05-12,344958.0
2016-05-13,354744.0
2016-05-14,330894.0
2016-05-15,332976.0
2016-05-16,360877.0
2016-05-17,349593.0
2016-05-18,339323.0
2016-05-19,330144.0
2016-05-20,322178.0
2016-05-21,305151.0
2016-05-22,285616.0
2016-05-23,321292.0
2016-05-24,336148.0
2016-05-25,362603.0
2016-05-26,399499.0
2016-05-27,420452.0
2016-05-28,402551.0
2016-05-29,385773.0
2016-05-30,379064.0
2016-05-31,407400.0
2016-06-01,411318.0
2016-06-02,397283.0
2016-06-03,368400.0
2016-06-04,345503.0
2016-06-05,347048.0
2016-06-06,390427.0
2016-06-07,402402.0
2016-06-08,355078.0
2016-06-09,337086.0
2016-06-10,338160.0
2016-06-11,330573.0
2016-06-12,356003.0
2016-06-13,347091.0
2016-06-14,353425.0
2016-06-15,371339.0
2016-06-16,381658.0
2016-06-17,375015.0
2016-06-18,343877.0
2016-06-19,353174.0
2016-06-20,416702.0
2016-06-21,454618.0
2016-06-22,438980.0
2016-06-23,404666.0
2016-06-24,398046.0
2016-06-25,348611.0
2016-06-26,358158.0
2016-06-27,417781.0
2016-06-28,416111.0
2016-06-29,408927.0
2016-06-30,412727.0
2016-07-01,409480.0
2016-07-02,354471.0
2016-07-03,327169.0
2016-07-04,347825.0
2016-07-05,401945.0
2016-07-06,454755.0
2016-07-07,480826.0
2016-07-08,470237.0
2016-07-09,401187.0
2016-07-10,368331.0
2016-07-11,397072.0
2016-07-12,432415.0
2016-07-13,475975.0
2016-07-14,490672.0
2016-07-15,494796.0
2016-07-16,424818.0
2016-07-17,399433.0
2016-07-18,484179.0
2016-07-19,451536.0
2016-07-20,414080.0
2016-07-21,451656.0
2016-07-22,509853.0
2016-07-23,509050.0
2016-07-24,447413.0
2016-07-25,504054.0
2016-07-26,505281.0
2016-07-27,509674.0
2016-07-28,507103.0
2016-07-29,475915.0
2016-07-30,427435.0
2016-07-31,408793.0
2016-08-01,432276.0
2016-08-02,437633.0
2016-08-03,437056.0
2016-08-04,450158.0
2016-08-05,461604.0
2016-08-06,438771.0
2016-08-07,404322.0
2016-08-08,435011.0
2016-08-09,458371.0
2016-08-10,500557.0
2016-08-11,538674.0
2016-08-12,552863.0
2016-08-13,531040.0
2016-08-14,511931.0
2016-08-15,523280.0
2016-08-16,530655.0
2016-08-17,515434.0
2016-08-18,474085.0
2016-08-19,485623.0
2016-08-20,453424.0
2016-08-21,448028.0
2016-08-22,426643.0
2016-08-23,397077.0
2016-08-24,430911.0
2016-08-25,465485.0
2016-08-26,496111.0
2016-08-27,437765.0
2016-08-28,417109.0
2016-08-29,473687.0
2016-08-30,450505.0
2016-08-31,463167.0
2016-09-01,428597.0
2016-09-02,384733.0
2016-09-03,336679.0
2016-09-04,324083.0
2016-09-05,335601.0
2016-09-06,407354.0
2016-09-07,447889.0
2016-09-08,485829.0
2016-09-09,523840.0
2016-09-10,485498.0
2016-09-11,441933.0
2016-09-12,387697.0
2016-09-13,405044.0
2016-09-14,444400.0
2016-09-15,393551.0
2016-09-16,369738.0
2016-09-17,344875.0
2016-09-18,368621.0
2016-09-19,419625.0
2016-09-20,425709.0
2016-09-21,428853.0
2016-09-22,412681.0
2016-09-23,413205.0
2016-09-24,345084.0
2016-09-25,296905.0
2016-09-26,333862.0
2016-09-27,352801.0
2016-09-28,349021.0
2016-09-29,333606.0
2016-09-30,327776.0
2016-10-01,308395.0
2016-10-02,304821.0
