ds,y
2015-07-01,352908.0
2015-07-02,344714.0
2015-07-03,330499.0
2015-07-04,321381.0
2015-07-05,316237.0
2015-07-06,318456.0
2015-07-07,337613.0
2015-07-08,332112.0
2015-07-09,313034.0
2015-07-10,300594.0
2015-07-11,340071.0
2015-07-12,339832.0
2015-07-13,333685.0
2015-07-14,345180.0
2015-07-15,374317.0
2015-07-16,380675.0
2015-07-17,375806.0
2015-07-18,316940.0
2015-07-19,293160.0
2015-07-20,325035.0
2015-07-21,372250.0
2015-07-22,370551.0
2015-07-23,331680.0
2015-07-24,339411.0
2015-07-25,333645.0
2015-07-26,359075.0
2015-07-27,377874.0
2015-07-28,390660.0
2015-07-29,338836.0
2015-07-30,367341.0
2015-07-31,386041.0
2015-08-01,316370.0
2015-08-02,329404.0
2015-08-03,347287.0
2015-08-04,355113.0
2015-08-05,359858.0
2015-08-06,362581.0
2015-08-07,353229.0
2015-08-08,323326.0
2015-08-09,329073.0
2015-08-10,341519.0
2015-08-11,336008.0
2015-08-12,329083.0
2015-08-13,359457.0
2015-08-14,378489.0
2015-08-15,419326.0
2015-08-16,413777.0
2015-08-17,423440.0
2015-08-18,405617.0
2015-08-19,389515.0
2015-08-20,395443.0
2015-08-21,397406.0
2015-08-22,391988.0
2015-08-23,372856.0
2015-08-24,388165.0
2015-08-25,383234.0
2015-08-26,363548.0
2015-08-27,386948.0
2015-08-28,368047.0
2015-08-29,383303.0
2015-08-30,373658.0
2015-08-31,385201.0
2015-09-01,369115.0
2015-09-02,366893.0
2015-09-03,357215.0
2015-09-04,334541.0
2015-09-05,322180.0
2015-09-06,331315.0
2015-09-07,345788.0
2015-09-08,361902.0
2015-09-09,357453.0
2015-09-10,344853.0
2015-09-11,336702.0
2015-09-12,355533.0
2015-09-13,358670.0
2015-09-14,351710.0
2015-09-15,347639.0
2015-09-16,342101.0
2015-09-17,336465.0
2015-09-18,337060.0
2015-09-19,326475.0
2015-09-20,336320.0
2015-09-21,342896.0
2015-09-22,307053.0
2015-09-23,312630.0
2015-09-24,338821.0
2015-09-25,347248.0
2015-09-26,340912.0
2015-09-27,330272.0
2015-09-28,346964.0
2015-09-29,348342.0
2015-09-30,349576.0
2015-10-01,346395.0
2015-10-02,332467.0
2015-10-03,294380.0
2015-10-04,283502.0
2015-10-05,288319.0
2015-10-06,271773.0
2015-10-07,253655.0
2015-10-08,265607.0
2015-10-09,286910.0
2015-10-10,283397.0
2015-10-11,283958.0
2015-10-12,299224.0
2015-10-13,305175.0
2015-10-14,308812.0
2015-10-15,308399.0
2015-10-16,302450.0
2015-10-17,266279.0
2015-10-18,267777.0
2015-10-19,273244.0
2015-10-20,269384.0
2015-10-21,247651.0
2015-10-22,247415.0
2015-10-23,249192.0
2015-10-24,246642.0
2015-10-25,247060.0
2015-10-26,260146.0
2015-10-27,262182.0
2015-10-28,256212.0
2015-10-29,254858.0
2015-10-30,243343.0
2015-10-31,233300.0
2015-11-01,229214.0
2015-11-02,244430.0
2015-11-03,247994.0
2015-11-04,240467.0
2015-11-05,238696.0
2015-11-06,238894.0
2015-11-07,231668.0
2015-11-08,228549.0
2015-11-09,239190.0
2015-11-10,240750.0
2015-11-11,245935.0
2015-11-12,246644.0
2015-11-13,244785.0
2015-11-14,238532.0
2015-11-15,233221.0
2015-11-16,245337.0
2015-11-17,256514.0
2015-11-18,254681.0
2015-11-19,252444.0
2015-11-20,246914.0
2015-11-21,236884.0
2015-11-22,234823.0
2015-11-23,245219.0
2015-11-24,246943.0
2015-11-25,244471.0
2015-11-26,239157.0
2015-11-27,236386.0
2015-11-28,247534.0
2015-11-29,248441.0
2015-11-30,266725.0
2015-12-01,275300.0
2015-12-02,277178.0
2015-12-03,267756.0
2015-12-04,262420.0
2015-12-05,251571.0
2015-12-06,248408.0
2015-12-07,255134.0
2015-12-08,259500.0
2015-12-09,259534.0
2015-12-10,255701.0
2015-12-11,254068.0
2015-12-12,255447.0
2015-12-13,263729.0
2015-12-14,277580.0
2015-12-15,293620.0
2015-12-16,299682.0
2015-12-17,301072.0
2015-12-18,294700.0
2015-12-19,270397.0
2015-12-20,258308.0
2015-12-21,268342.0
2015-12-22,278728.0
2015-12-23,267664.0
2015-12-24,258446.0
2015-12-25,243069.0
2015-12-26,261674.0
2015-12-27,279641.0
2015-12-28,284698.0
2015-12-29,285203.0
2015-12-30,289649.0
2015-12-31,286732.0
2016-01-01,272508.0
2016-01-02,260423.0
2016-01-03,253813.0
2016-01-04,263012.0
2016-01-05,273408.0
2016-01-06,269458.0
2016-01-07,279397.0
2016-01-08,290026.0
2016-01-09,278337.0
2016-01-10,275350.0
2016-01-11,284481.0
2016-01-12,289585.0
2016-01-13,283290.0
2016-01-14,279929.0
2016-01-15,282174.0
2016-01-16,275588.0
2016-01-17,259114.0
2016-01-18,264487.0
2016-01-19,266667.0
2016-01-20,255724.0
2016-01-21,258010.0
2016-01-22,260622.0
2016-01-23,248942.0
2016-01-24,242536.0
2016-01-25,256800.0
2016-01-26,262790.0
2016-01-27,263831.0
2016-01-28,263429.0
2016-01-29,259845.0
2016-01-30,247161.0
2016-01-31,235336.0
2016-02-01,261382.0
2016-02-02,289403.0
2016-02-03,293950.0
2016-02-04,293241.0
2016-02-05,272936.0
2016-02-06,261914.0
2016-02-07,248448.0
2016-02-08,245223.0
2016-02-09,246562.0
2016-02-10,246390.0
2016-02-11,246201.0
2016-02-12,245771.0
2016-02-13,235436.0
2016-02-14,228346.0
2016-02-15,235668.0
2016-02-16,242901.0
