ds,y
2015-07-01,1026788.0
2015-07-02,1072395.0
2015-07-03,1088979.0
2015-07-04,1067153.0
2015-07-05,1071070.0
2015-07-06,1167715.0
2015-07-07,1165231.0
2015-07-08,1129909.0
2015-07-09,1150214.0
2015-07-10,1160465.0
2015-07-11,1131941.0
2015-07-12,1129496.0
2015-07-13,1209235.0
2015-07-14,1228985.0
2015-07-15,1219082.0
2015-07-16,1216709.0
2015-07-17,1226119.0
2015-07-18,1209568.0
2015-07-19,1187151.0
2015-07-20,1242956.0
2015-07-21,1244328.0
2015-07-22,1242035.0
2015-07-23,1256750.0
2015-07-24,1251881.0
2015-07-25,1217870.0
2015-07-26,1201389.0
2015-07-27,1270996.0
2015-07-28,1269259.0
2015-07-29,1272792.0
2015-07-30,1273842.0
2015-07-31,1274157.0
2015-08-01,1158277.0
2015-08-02,1130070.0
2015-08-03,1207514.0
2015-08-04,1244602.0
2015-08-05,1286724.0
2015-08-06,1302706.0
2015-08-07,1301375.0
2015-08-08,1262002.0
2015-08-09,1236326.0
2015-08-10,1288809.0
2015-08-11,1305188.0
2015-08-12,1276439.0
2015-08-13,1271560.0
2015-08-14,1257208.0
2015-08-15,1173298.0
2015-08-16,1126145.0
2015-08-17,1177344.0
2015-08-18,1226247.0
2015-08-19,1221438.0
2015-08-20,1018923.0
2015-08-21,1002803.0
2015-08-22,1112943.0
2015-08-23,1168270.0
2015-08-24,1222903.0
2015-08-25,1201003.0
2015-08-26,1125130.0
2015-08-27,1130086.0
2015-08-28,1121996.0
2015-08-29,1088482.0
2015-08-30,1051221.0
2015-08-31,1111830.0
2015-09-01,1111271.0
2015-09-02,1116305.0
2015-09-03,1138809.0
2015-09-04,1168394.0
2015-09-05,1139469.0
2015-09-06,1131644.0
2015-09-07,1179074.0
2015-09-08,1222901.0
2015-09-09,1157683.0
2015-09-10,1104230.0
2015-09-11,1072145.0
2015-09-12,964437.0
2015-09-13,901111.0
2015-09-14,979219.0
2015-09-15,1036743.0
2015-09-16,1106730.0
2015-09-17,1131734.0
2015-09-18,1145353.0
2015-09-19,1059287.0
2015-09-20,995949.0
2015-09-21,1052758.0
2015-09-22,1106483.0
2015-09-23,1083731.0
2015-09-24,1030156.0
2015-09-25,1050360.0
2015-09-26,981022.0
2015-09-27,919823.0
2015-09-28,957412.0
2015-09-29,1008528.0
2015-09-30,1046210.0
2015-10-01,1015129.0
2015-10-02,935698.0
2015-10-03,822257.0
2015-10-04,801368.0
2015-10-05,873211.0
2015-10-06,908089.0
2015-10-07,952929.0
2015-10-08,985556.0
2015-10-09,977851.0
2015-10-10,904797.0
2015-10-11,903107.0
2015-10-12,1057337.0
2015-10-13,1043836.0
2015-10-14,953846.0
2015-10-15,979938.0
2015-10-16,956624.0
2015-10-17,838283.0
2015-10-18,768802.0
2015-10-19,817664.0
2015-10-20,856086.0
2015-10-21,930927.0
2015-10-22,936392.0
2015-10-23,922782.0
2015-10-24,846838.0
2015-10-25,727014.0
2015-10-26,755083.0
2015-10-27,802372.0
2015-10-28,826548.0
2015-10-29,813987.0
2015-10-30,845532.0
2015-10-31,809137.0
2015-11-01,728837.0
2015-11-02,773534.0
2015-11-03,804188.0
2015-11-04,827008.0
2015-11-05,894607.0
2015-11-06,871135.0
2015-11-07,772094.0
2015-11-08,709363.0
2015-11-09,754807.0
2015-11-10,792413.0
2015-11-11,876500.0
2015-11-12,813102.0
2015-11-13,762736.0
2015-11-14,728082.0
2015-11-15,719159.0
2015-11-16,798037.0
2015-11-17,844848.0
2015-11-18,783260.0
2015-11-19,786630.0
2015-11-20,782812.0
2015-11-21,757469.0
2015-11-22,797966.0
2015-11-23,845739.0
2015-11-24,814268.0
2015-11-25,784371.0
2015-11-26,775498.0
2015-11-27,770762.0
2015-11-28,855184.0
2015-11-29,859902.0
2015-11-30,868609.0
2015-12-01,867439.0
2015-12-02,867178.0
2015-12-03,870910.0
2015-12-04,868044.0
2015-12-05,837588.0
2015-12-06,780852.0
2015-12-07,817152.0
2015-12-08,824953.0
2015-12-09,801799.0
2015-12-10,810054.0
2015-12-11,822284.0
2015-12-12,805799.0
2015-12-13,771442.0
2015-12-14,819488.0
2015-12-15,815422.0
2015-12-16,812796.0
2015-12-17,873134.0
2015-12-18,897787.0
2015-12-19,873852.0
2015-12-20,779605.0
2015-12-21,775458.0
2015-12-22,804110.0
2015-12-23,808131.0
2015-12-24,773438.0
2015-12-25,766624.0
2015-12-26,775611.0
2015-12-27,814831.0
2015-12-28,942726.0
2015-12-29,967470.0
2015-12-30,900145.0
2015-12-31,895145.0
2016-01-01,880478.0
2016-01-02,914501.0
2016-01-03,872094.0
2016-01-04,906376.0
2016-01-05,957024.0
2016-01-06,928719.0
2016-01-07,850948.0
2016-01-08,824915.0
2016-01-09,846340.0
2016-01-10,976744.0
2016-01-11,1006709.0
2016-01-12,962347.0
2016-01-13,894662.0
2016-01-14,848077.0
2016-01-15,814711.0
2016-01-16,834151.0
2016-01-17,906800.0
2016-01-18,936464.0
2016-01-19,912400.0
2016-01-20,875532.0
2016-01-21,872864.0
2016-01-22,978915.0
2016-01-23,969926.0
2016-01-24,885051.0
2016-01-25,797940.0
2016-01-26,855776.0
2016-01-27,956165.0
2016-01-28,947622.0
2016-01-29,858420.0
2016-01-30,763812.0
2016-01-31,724176.0
2016-02-01,788101.0
2016-02-02,797770.0
2016-02-03,847332.0
2016-02-04,926772.0
2016-02-05,930409.0
2016-02-06,855170.0
2016-02-07,860758.0
2016-02-08,845634.0
2016-02-09,909684.0
2016-02-10,861181.0
2016-02-11,809407.0
2016-02-12,791721.0
2016-02-13,759601.0
2016-02-14,726147.0
2016-02-15,766021.0
2016-02-16,801344.0
2016-02-17,797939.0
2016-02-18,797720.0
2016-02-19,799317.0
2016-02-20,773204.0
2016-02-21,739215.0
2016-02-22,771675.0
2016-02-23,803982.0
2016-02-24,872753.0
2016-02-25,845591.0
2016-02-26,841228.0
2016-02-27,778410.0
2016-02-28,714574.0
2016-02-29,765685.0
2016-03-01,796554.0
2016-03-02,795573.0
2016-03-03,799771.0
2016-03-04,789882.0
2016-03-05,744165.0
2016-03-06,719394.0
2016-03-07,778130.0
2016-03-08,802125.0
2016-03-09,796069.0
2016-03-10,767431.0
2016-03-11,773434.0
2016-03-12,736918.0
2016-03-13,739434.0
2016-03-14,805442.0
2016-03-15,851109.0
2016-03-16,827529.0
2016-03-17,821215.0
2016-03-18,828458.0
2016-03-19,770036.0
2016-03-20,736968.0
2016-03-21,811191.0
2016-03-22,788644.0
