Date,Hour,Demand,Net generation,Day-ahead demand forecast,Total interchange
2015-07-01,0,37606.5,30880.0,37542.0,-6459.5
2015-07-01,1,37606.5,30880.0,37542.0,-6459.5
2015-07-01,2,37606.5,30880.0,37542.0,-6459.5
2015-07-01,3,37606.5,30880.0,37542.0,-6459.5
2015-07-01,4,37606.5,30880.0,37542.0,-6459.5
2015-07-01,5,37606.5,30880.0,37542.0,-6459.5
2015-07-01,6,37606.5,30880.0,37542.0,-6459.5
2015-07-01,7,37606.5,30880.0,37542.0,-6459.5
2015-07-01,8,38210.0,31005.0,35264.0,-7412.0
2015-07-01,9,35171.0,28760.0,32894.0,-6671.0
2015-07-01,10,33243.0,27179.0,31360.0,-6306.0
2015-07-01,11,31955.0,25660.0,30579.0,-6551.0
2015-07-01,12,31199.0,24961.0,30723.0,-6491.0
2015-07-01,13,31540.0,25288.0,31820.0,-6273.0
2015-07-01,14,32551.0,25973.0,33439.0,-6583.0
2015-07-01,15,34483.0,28342.0,36243.0,-6158.0
2015-07-01,16,37003.0,30755.0,38841.0,-6240.0
2015-07-01,17,39274.0,32737.0,41520.0,-6519.0
2015-07-01,18,41265.0,34895.0,44518.0,-6359.0
2015-07-01,19,43042.0,36439.0,47055.0,-6579.0
2015-07-01,20,44869.0,38107.0,49568.0,-6750.0
2015-07-01,21,46173.0,40396.0,51948.0,-5778.0
2015-07-01,22,47600.0,41162.0,53939.0,-6428.0
2015-07-01,23,48083.0,42021.0,55490.0,-6058.0
2015-07-02,0,48300.0,42130.0,56159.0,-6180.0
2015-07-02,1,48136.0,42646.0,55685.0,-5504.0
2015-07-02,2,47343.0,42376.0,54219.0,-4977.0
2015-07-02,3,46165.0,40493.0,51656.0,-5690.0
2015-07-02,4,45380.0,39401.0,49726.0,-5984.0
2015-07-02,5,44996.0,38629.0,47582.0,-6379.0
2015-07-02,6,43173.0,37117.0,42851.0,-6062.0
2015-07-02,7,39545.0,31806.0,38571.0,-7750.0
2015-07-02,8,36073.0,28825.0,34686.0,-7251.0
2015-07-02,9,33603.0,26405.0,32722.0,-7230.0
2015-07-02,10,31746.0,24793.0,31126.0,-6988.0
2015-07-02,11,30618.0,23640.0,30281.0,-6981.0
2015-07-02,12,30157.0,23898.0,30330.0,-6285.0
2015-07-02,13,30920.0,23960.0,31351.0,-6976.0
2015-07-02,14,32074.0,25283.0,33004.0,-6809.0
2015-07-02,15,34150.0,27519.0,35451.0,-6631.0
2015-07-02,16,36828.0,30194.0,38034.0,-6639.0
2015-07-02,17,38982.0,32527.0,40522.0,-6428.0
2015-07-02,18,40598.0,34138.0,42984.0,-6440.0
2015-07-02,19,42187.0,35914.0,45072.0,-6264.0
2015-07-02,20,43556.0,37778.0,47001.0,-5761.0
2015-07-02,21,45060.0,39641.0,48969.0,-5399.0
2015-07-02,22,46767.0,41943.0,50740.0,-4794.0
2015-07-02,23,48086.0,43823.0,52017.0,-4250.0
2015-07-03,0,49005.0,45083.0,52623.0,-3900.0
2015-07-03,1,49266.0,45571.0,51946.0,-3694.0
2015-07-03,2,48231.0,44268.0,50082.0,-3947.0
2015-07-03,3,46540.0,42536.0,47767.0,-3989.0
2015-07-03,4,44693.0,40728.0,46300.0,-3953.0
2015-07-03,5,43601.0,37862.0,44627.0,-5726.0
2015-07-03,6,41628.0,35655.0,40777.0,-5959.0
2015-07-03,7,38382.0,31196.0,36926.0,-7191.0
2015-07-03,8,35140.0,28258.0,33962.0,-6881.0
2015-07-03,9,32616.0,25310.0,31805.0,-7309.0
2015-07-03,10,30689.0,23207.0,30219.0,-7490.0
2015-07-03,11,29373.0,21897.0,29200.0,-7479.0
2015-07-03,12,28936.0,21844.0,28910.0,-7093.0
2015-07-03,13,28960.0,21891.0,29096.0,-7070.0
2015-07-03,14,29277.0,21979.0,29378.0,-7306.0
2015-07-03,15,30054.0,23037.0,30795.0,-7021.0
2015-07-03,16,31213.0,24920.0,32958.0,-6298.0
2015-07-03,17,33105.0,26537.0,35245.0,-6591.0
2015-07-03,18,34797.0,27987.0,37415.0,-6822.0
2015-07-03,19,36371.0,29950.0,39168.0,-6431.0
2015-07-03,20,37921.0,31421.0,41292.0,-6519.0
2015-07-03,21,39590.0,33528.0,43238.0,-6077.0
2015-07-03,22,41542.0,35519.0,44669.0,-6032.0
2015-07-03,23,43409.0,37610.0,45343.0,-5809.0
2015-07-04,0,44932.0,39458.0,45555.0,-5483.0
2015-07-04,1,45905.0,40168.0,45236.0,-5752.0
2015-07-04,2,45878.0,39381.0,44143.0,-6521.0
2015-07-04,3,44768.0,37792.0,42473.0,-6979.0
2015-07-04,4,43090.0,36004.0,41277.0,-7103.0
2015-07-04,5,41948.0,33567.0,39790.0,-8397.0
2015-07-04,6,40172.0,31962.0,37723.0,-8211.0
2015-07-04,7,37393.0,28864.0,35048.0,-8545.0
2015-07-04,8,34368.0,26689.0,32300.0,-7681.0
2015-07-04,9,31999.0,24064.0,30335.0,-7956.0
2015-07-04,10,30200.0,22506.0,28897.0,-7694.0
2015-07-04,11,29232.0,21854.0,28076.0,-7382.0
2015-07-04,12,28404.0,20889.0,27770.0,-7521.0
2015-07-04,13,28036.0,20647.0,27832.0,-7400.0
2015-07-04,14,27930.0,20417.0,27713.0,-7517.0
2015-07-04,15,27905.0,20368.0,28839.0,-7550.0
2015-07-04,16,29112.0,22084.0,30379.0,-7028.0
2015-07-04,17,31015.0,23779.0,32195.0,-7247.0
2015-07-04,18,32867.0,26065.0,34053.0,-6817.0
2015-07-04,19,34462.0,27465.0,35827.0,-7011.0
2015-07-04,20,36236.0,29190.0,37407.0,-7061.0
2015-07-04,21,37883.0,31310.0,38935.0,-6593.0
2015-07-04,22,39236.0,32744.0,40382.0,-6503.0
2015-07-04,23,40293.0,33814.0,41470.0,-6492.0
2015-07-05,0,41210.0,34539.0,42213.0,-6677.0
2015-07-05,1,41548.0,35267.0,42177.0,-6295.0
2015-07-05,2,41399.0,34694.0,41253.0,-6708.0
2015-07-05,3,40462.0,33357.0,39718.0,-7122.0
2015-07-05,4,38824.0,31332.0,38807.0,-7498.0
2015-07-05,5,37556.0,29304.0,37600.0,-8266.0
2015-07-05,6,36007.0,27531.0,35784.0,-8492.0
2015-07-05,7,34690.0,25870.0,33448.0,-8828.0
2015-07-05,8,32777.0,24930.0,31132.0,-7853.0
2015-07-05,9,30763.0,22913.0,29715.0,-7874.0
2015-07-05,10,29095.0,21847.0,28440.0,-7243.0
2015-07-05,11,27905.0,20465.0,27563.0,-7459.0
2015-07-05,12,27357.0,19749.0,27249.0,-7615.0
2015-07-05,13,27196.0,19477.0,27234.0,-7733.0
2015-07-05,14,27098.0,19329.0,27023.0,-7775.0
2015-07-05,15,27029.0,19188.0,27739.0,-7853.0
2015-07-05,16,27901.0,20737.0,29132.0,-7176.0
2015-07-05,17,29360.0,22368.0,30639.0,-7010.0
2015-07-05,18,30887.0,24039.0,31971.0,-6858.0
2015-07-05,19,32155.0,25402.0,33308.0,-6775.0
2015-07-05,20,33455.0,26864.0,34737.0,-6605.0
2015-07-05,21,34474.0,28136.0,36405.0,-6350.0
2015-07-05,22,35307.0,28657.0,38102.0,-6664.0
2015-07-05,23,36579.0,29969.0,39617.0,-6614.0
2015-07-06,0,38071.0,31579.0,40893.0,-6511.0
2015-07-06,1,39010.0,32665.0,41588.0,-6361.0
2015-07-06,2,39405.0,33087.0,41419.0,-6324.0
2015-07-06,3,39064.0,32320.0,40034.0,-6739.0
2015-07-06,4,38220.0,30999.0,39421.0,-7224.0
2015-07-06,5,37819.0,30146.0,38683.0,-7688.0
2015-07-06,6,36473.0,29105.0,35963.0,-7374.0
2015-07-06,7,33910.0,26627.0,32970.0,-7292.0
2015-07-06,8,31270.0,24888.0,30763.0,-6393.0
2015-07-06,9,29172.0,23142.0,29211.0,-6044.0
2015-07-06,10,28199.0,22276.0,28251.0,-5929.0
2015-07-06,11,27314.0,21161.0,27794.0,-6164.0
2015-07-06,12,27093.0,20804.0,28205.0,-6302.0
2015-07-06,13,27728.0,21234.0,29502.0,-6496.0
2015-07-06,14,29084.0,22283.0,31024.0,-6821.0
2015-07-06,15,31110.0,23951.0,33406.0,-7158.0
2015-07-06,16,33279.0,26409.0,35478.0,-6888.0
2015-07-06,17,35081.0,28302.0,37113.0,-6786.0
2015-07-06,18,36305.0,29776.0,38630.0,-6529.0
2015-07-06,19,37743.0,31199.0,39812.0,-6554.0
2015-07-06,20,38264.0,31981.0,40853.0,-6288.0
2015-07-06,21,39120.0,33516.0,42203.0,-5616.0
2015-07-06,22,40361.0,34816.0,43438.0,-5551.0
2015-07-06,23,41667.0,36483.0,44526.0,-5198.0
2015-07-07,0,42800.0,37283.0,45147.0,-5511.0
2015-07-07,1,43289.0,37552.0,45060.0,-5733.0
2015-07-07,2,43150.0,37149.0,44334.0,-6018.0
2015-07-07,3,42403.0,35983.0,43202.0,-6419.0
2015-07-07,4,41152.0,34631.0,42583.0,-6536.0
2015-07-07,5,40457.0,33222.0,41464.0,-7239.0
2015-07-07,6,38737.0,31752.0,38133.0,-6992.0
2015-07-07,7,35534.0,28679.0,34666.0,-6864.0
2015-07-07,8,32537.0,25736.0,31771.0,-6814.0
2015-07-07,9,30566.0,24162.0,29822.0,-6406.0
2015-07-07,10,29486.0,23032.0,28749.0,-6457.0
2015-07-07,11,28606.0,22039.0,28174.0,-6573.0
2015-07-07,12,28228.0,21650.0,28438.0,-6787.0
2015-07-07,13,28567.0,21792.0,29537.0,-6809.0
2015-07-07,14,29935.0,22740.0,31046.0,-7205.0
2015-07-07,15,31915.0,24398.0,33280.0,-7513.0
2015-07-07,16,33800.0,26524.0,35118.0,-7281.0
2015-07-07,17,35243.0,27940.0,36534.0,-7308.0
2015-07-07,18,36260.0,29219.0,37925.0,-7048.0
2015-07-07,19,37500.0,30516.0,39042.0,-6996.0
