Date,Hour,Demand,Net generation,Day-ahead demand forecast,Total interchange
2015-07-01,0,25608.0,25129.0,27483.0,-346.0
2015-07-01,1,25608.0,25129.0,27483.0,-346.0
2015-07-01,2,25608.0,25129.0,27483.0,-346.0
2015-07-01,3,25608.0,25129.0,27483.0,-346.0
2015-07-01,4,25608.0,25129.0,27483.0,-346.0
2015-07-01,5,22945.0,22934.0,24453.0,121.0
2015-07-01,6,21396.0,21397.0,22731.0,134.0
2015-07-01,7,20627.0,20598.0,21569.0,102.0
2015-07-01,8,20102.0,20068.0,20898.0,97.0
2015-07-01,9,19931.0,19965.0,20621.0,164.0
2015-07-01,10,20700.0,20575.0,21223.0,8.0
2015-07-01,11,21791.0,21766.0,22214.0,108.0
2015-07-01,12,23018.0,22800.0,23726.0,-86.0
2015-07-01,13,24234.0,23900.0,25481.0,-202.0
2015-07-01,14,25608.0,25129.0,27483.0,-346.0
2015-07-01,15,27401.0,26901.0,29728.0,-363.0
2015-07-01,16,29413.0,28715.0,31788.0,-498.0
2015-07-01,17,31169.0,30377.0,33513.0,-593.0
2015-07-01,18,32838.0,31994.0,35096.0,-647.0
2015-07-01,19,34078.0,33053.0,36256.0,-829.0
2015-07-01,20,34892.0,33632.0,37130.0,-1064.0
2015-07-01,21,35125.0,33884.0,37417.0,-1043.0
2015-07-01,22,34811.0,33583.0,37126.0,-1031.0
2015-07-01,23,33712.0,32736.0,36171.0,-780.0
2015-07-02,0,32270.0,31673.0,34653.0,-400.0
2015-07-02,1,31456.0,30829.0,33263.0,-423.0
2015-07-02,2,30655.0,30070.0,32360.0,-383.0
2015-07-02,3,28341.0,28060.0,29947.0,-148.0
2015-07-02,4,25812.0,25698.0,26878.0,16.0
2015-07-02,5,23646.0,23539.0,24809.0,26.0
2015-07-02,6,22348.0,22171.0,23182.0,-44.0
2015-07-02,7,21413.0,21379.0,21958.0,97.0
2015-07-02,8,20851.0,20833.0,21322.0,114.0
2015-07-02,9,20799.0,20697.0,21171.0,29.0
2015-07-02,10,21430.0,21314.0,21732.0,19.0
