Date,Hour,Demand,Net generation,Day-ahead demand forecast,Total interchange
2015-07-01,0,30408.0,30797.0,31441.0,413.0
2015-07-01,1,30408.0,30797.0,31441.0,413.0
2015-07-01,2,30408.0,30797.0,31441.0,413.0
2015-07-01,3,30408.0,30797.0,31441.0,413.0
2015-07-01,4,30408.0,30797.0,31441.0,413.0
2015-07-01,5,30408.0,30797.0,31441.0,413.0
2015-07-01,6,28985.0,29484.0,28749.0,485.0
2015-07-01,7,27498.0,28106.0,27243.0,604.0
2015-07-01,8,26384.0,26841.0,26120.0,459.0
2015-07-01,9,25663.0,26174.0,25451.0,517.0
2015-07-01,10,25481.0,26108.0,25287.0,638.0
2015-07-01,11,26061.0,26694.0,26007.0,645.0
2015-07-01,12,26938.0,27479.0,27163.0,556.0
2015-07-01,13,28180.0,28643.0,28841.0,487.0
2015-07-01,14,29562.0,30005.0,30546.0,460.0
2015-07-01,15,31254.0,31589.0,32336.0,367.0
2015-07-01,16,33085.0,33355.0,34234.0,299.0
2015-07-01,17,35077.0,35089.0,35909.0,41.0
2015-07-01,18,36984.0,36846.0,37432.0,-111.0
2015-07-01,19,38659.0,38091.0,38904.0,-536.0
2015-07-01,20,39607.0,38886.0,39728.0,-675.0
2015-07-01,21,40319.0,39654.0,40593.0,-623.0
2015-07-01,22,40794.0,40086.0,40778.0,-666.0
2015-07-01,23,40696.0,40274.0,40391.0,-380.0
2015-07-02,0,40013.0,39484.0,39610.0,-497.0
2015-07-02,1,38804.0,38345.0,38565.0,-427.0
2015-07-02,2,37332.0,36981.0,36986.0,-333.0
2015-07-02,3,36422.0,36198.0,36152.0,-212.0
2015-07-02,4,34173.0,34261.0,33778.0,70.0
2015-07-02,5,31489.0,31686.0,30787.0,172.0
2015-07-02,6,29299.0,29767.0,29135.0,471.0
2015-07-02,7,27667.0,28073.0,27565.0,409.0
2015-07-02,8,26545.0,26820.0,26482.0,277.0
2015-07-02,9,25804.0,26051.0,25856.0,248.0
2015-07-02,10,25578.0,25530.0,25677.0,-47.0
2015-07-02,11,26172.0,26431.0,26378.0,257.0
2015-07-02,12,27014.0,27232.0,27370.0,214.0
2015-07-02,13,28220.0,28336.0,28901.0,115.0
2015-07-02,14,29630.0,30110.0,30440.0,478.0
2015-07-02,15,30999.0,31479.0,31921.0,480.0
2015-07-02,16,32358.0,32536.0,33615.0,177.0
2015-07-02,17,33563.0,33706.0,35091.0,143.0
2015-07-02,18,34611.0,34627.0,36459.0,15.0
2015-07-02,19,35488.0,35318.0,37484.0,-170.0
2015-07-02,20,35887.0,35866.0,37847.0,-21.0
2015-07-02,21,36014.0,35912.0,38017.0,-102.0
2015-07-02,22,35969.0,35959.0,38019.0,-10.0
2015-07-02,23,35282.0,35345.0,37400.0,64.0
2015-07-03,0,34278.0,34241.0,36424.0,-36.0
2015-07-03,1,33150.0,32962.0,35298.0,-187.0
2015-07-03,2,32117.0,32115.0,33970.0,-1.0
