Date,Hour,Demand,Net generation,Day-ahead demand forecast,Total interchange
2015-07-01,0,30853.0,28489.0,28183.0,-1374.0
2015-07-01,1,30853.0,28489.0,28183.0,-1374.0
2015-07-01,2,30853.0,28489.0,28183.0,-1374.0
2015-07-01,3,30853.0,28489.0,28183.0,-1374.0
2015-07-01,4,30853.0,28489.0,28183.0,-1374.0
2015-07-01,5,26384.0,24794.0,24781.0,-453.0
2015-07-01,6,24336.0,23033.0,21203.0,-481.0
2015-07-01,7,22842.0,21663.0,20009.0,-396.0
2015-07-01,8,21906.0,20779.0,19278.0,-377.0
2015-07-01,9,21615.0,20506.0,19180.0,-356.0
2015-07-01,10,22297.0,21174.0,19926.0,-416.0
2015-07-01,11,23691.0,22247.0,21232.0,-564.0
2015-07-01,12,24955.0,23440.0,22945.0,-555.0
2015-07-01,13,27473.0,25610.0,25485.0,-1110.0
2015-07-01,14,30853.0,28489.0,28183.0,-1374.0
2015-07-01,15,34251.0,31465.0,31047.0,-1704.0
2015-07-01,16,36840.0,33909.0,33317.0,-1730.0
2015-07-01,17,38687.0,35748.0,35144.0,-1813.0
2015-07-01,18,40140.0,36845.0,36641.0,-2206.0
2015-07-01,19,41227.0,37832.0,37748.0,-2281.0
2015-07-01,20,41963.0,38536.0,38009.0,-2255.0
2015-07-01,21,42385.0,38962.0,37414.0,-2269.0
2015-07-01,22,41897.0,38599.0,36800.0,-2100.0
2015-07-01,23,40586.0,37300.0,35517.0,-1996.0
2015-07-02,0,38866.0,35783.0,33787.0,-1752.0
2015-07-02,1,37264.0,34196.0,32702.0,-1698.0
2015-07-02,2,35513.0,32484.0,30911.0,-1620.0
2015-07-02,3,32572.0,29539.0,28029.0,-1494.0
2015-07-02,4,29414.0,27026.0,25197.0,-930.0
2015-07-02,5,26623.0,24971.0,24467.0,-415.0
2015-07-02,6,24653.0,23215.0,21315.0,-409.0
2015-07-02,7,23175.0,21861.0,20482.0,-461.0
2015-07-02,8,22305.0,21023.0,19855.0,-482.0
2015-07-02,9,22060.0,20918.0,19814.0,-358.0
2015-07-02,10,22714.0,21466.0,20586.0,-444.0
2015-07-02,11,23910.0,22393.0,21652.0,-573.0
2015-07-02,12,25242.0,23527.0,23186.0,-490.0
2015-07-02,13,27780.0,25627.0,25787.0,-902.0
2015-07-02,14,31059.0,28643.0,28679.0,-1116.0
2015-07-02,15,34349.0,31607.0,31500.0,-1544.0
2015-07-02,16,37245.0,34288.0,33648.0,-1701.0
2015-07-02,17,39391.0,36078.0,35524.0,-2242.0
2015-07-02,18,40515.0,37174.0,37203.0,-2176.0
2015-07-02,19,40658.0,37074.0,38105.0,-2266.0
2015-07-02,20,40042.0,36571.0,37960.0,-2177.0
2015-07-02,21,39175.0,35603.0,37280.0,-2216.0
2015-07-02,22,38245.0,34807.0,36033.0,-2298.0
2015-07-02,23,36769.0,33965.0,34766.0,-1703.0
2015-07-03,0,35077.0,32200.0,33188.0,-1645.0
2015-07-03,1,34010.0,31152.0,31997.0,-1505.0
2015-07-03,2,32723.0,29924.0,30276.0,-1429.0
2015-07-03,3,30569.0,27809.0,27844.0,-1211.0
2015-07-03,4,27964.0,25487.0,25056.0,-797.0
2015-07-03,5,25427.0,23395.0,24176.0,-457.0
2015-07-03,6,23687.0,22148.0,21167.0,-330.0
2015-07-03,7,22380.0,21214.0,20401.0,-341.0
2015-07-03,8,21477.0,20389.0,19730.0,-310.0
2015-07-03,9,21039.0,20014.0,19424.0,-278.0
2015-07-03,10,21257.0,20198.0,19831.0,-315.0
2015-07-03,11,21717.0,20629.0,20369.0,-339.0
2015-07-03,12,22803.0,21588.0,21956.0,-328.0
2015-07-03,13,25933.0,24256.0,24615.0,-603.0
2015-07-03,14,29676.0,27667.0,27866.0,-1027.0
2015-07-03,15,33136.0,30446.0,30873.0,-1624.0
2015-07-03,16,36154.0,33267.0,33146.0,-1812.0
2015-07-03,17,38524.0,35429.0,34894.0,-2044.0
2015-07-03,18,40248.0,36705.0,36083.0,-2371.0
2015-07-03,19,41357.0,37608.0,37368.0,-2354.0
2015-07-03,20,41756.0,37767.0,37216.0,-2571.0
2015-07-03,21,41323.0,37394.0,36728.0,-2446.0
2015-07-03,22,39995.0,36206.0,35655.0,-2310.0
2015-07-03,23,37750.0,33844.0,34254.0,-2393.0
2015-07-04,0,35654.0,32208.0,32445.0,-1825.0
2015-07-04,1,34435.0,31114.0,31267.0,-1644.0
2015-07-04,2,33023.0,29726.0,29867.0,-1596.0
2015-07-04,3,30780.0,27631.0,27813.0,-1456.0
2015-07-04,4,28071.0,25604.0,25432.0,-883.0
2015-07-04,5,25562.0,23480.0,24368.0,-636.0
2015-07-04,6,23510.0,22140.0,21348.0,-460.0
2015-07-04,7,22031.0,20764.0,19980.0,-427.0
2015-07-04,8,21058.0,19800.0,19086.0,-427.0
2015-07-04,9,20426.0,19258.0,18778.0,-392.0
2015-07-04,10,20224.0,19085.0,18907.0,-415.0
2015-07-04,11,20328.0,19130.0,19076.0,-470.0
2015-07-04,12,21218.0,19911.0,20101.0,-511.0
2015-07-04,13,24004.0,22450.0,23448.0,-792.0
2015-07-04,14,27566.0,25428.0,26792.0,-1113.0
2015-07-04,15,31039.0,27818.0,29719.0,-2139.0
2015-07-04,16,33966.0,30812.0,31930.0,-2155.0
2015-07-04,17,36184.0,33059.0,33826.0,-2218.0
2015-07-04,18,37789.0,34637.0,34954.0,-2123.0
2015-07-04,19,38639.0,35297.0,35748.0,-2141.0
2015-07-04,20,38873.0,35683.0,35433.0,-1943.0
2015-07-04,21,38355.0,35181.0,35097.0,-1855.0
2015-07-04,22,37086.0,34026.0,33889.0,-1788.0
2015-07-04,23,35197.0,32104.0,32621.0,-1843.0
2015-07-05,0,33058.0,29925.0,31103.0,-1826.0
2015-07-05,1,31403.0,28393.0,30126.0,-1717.0
2015-07-05,2,29823.0,26827.0,28855.0,-1667.0
2015-07-05,3,28859.0,26303.0,27058.0,-1169.0
2015-07-05,4,27393.0,25038.0,24963.0,-958.0
2015-07-05,5,25325.0,23592.0,24339.0,-460.0
2015-07-05,6,23571.0,22475.0,21252.0,-327.0
2015-07-05,7,22275.0,21243.0,20218.0,-286.0
2015-07-05,8,21366.0,20335.0,19646.0,-266.0
2015-07-05,9,20828.0,19813.0,19059.0,-287.0
2015-07-05,10,20704.0,19670.0,19195.0,-307.0
2015-07-05,11,20672.0,19640.0,19292.0,-276.0
2015-07-05,12,21463.0,20294.0,20087.0,-345.0
2015-07-05,13,24520.0,22743.0,23345.0,-799.0
2015-07-05,14,28403.0,26240.0,26535.0,-990.0
2015-07-05,15,31917.0,28929.0,29396.0,-1907.0
2015-07-05,16,34981.0,31821.0,31735.0,-2124.0
2015-07-05,17,37373.0,34100.0,33584.0,-2200.0
2015-07-05,18,39047.0,35873.0,34924.0,-2015.0
2015-07-05,19,39956.0,36852.0,35464.0,-1990.0
2015-07-05,20,40246.0,37115.0,35605.0,-1927.0
2015-07-05,21,39724.0,36466.0,35087.0,-1975.0
2015-07-05,22,38305.0,35001.0,34130.0,-1966.0
2015-07-05,23,36195.0,32961.0,32907.0,-1841.0
2015-07-06,0,34271.0,31075.0,31324.0,-1699.0
2015-07-06,1,32908.0,29785.0,30485.0,-1646.0
2015-07-06,2,31513.0,28408.0,28986.0,-1618.0
2015-07-06,3,29340.0,26689.0,26896.0,-1085.0
2015-07-06,4,26653.0,24198.0,24608.0,-823.0
2015-07-06,5,24237.0,22392.0,23650.0,-439.0
2015-07-06,6,22202.0,21013.0,20733.0,-332.0
2015-07-06,7,20758.0,19725.0,19445.0,-252.0
2015-07-06,8,19907.0,19004.0,18644.0,-137.0
2015-07-06,9,19818.0,18855.0,18724.0,-184.0
2015-07-06,10,20708.0,19593.0,19579.0,-318.0
2015-07-06,11,22325.0,20973.0,20626.0,-519.0
2015-07-06,12,23882.0,22578.0,22282.0,-410.0
2015-07-06,13,26037.0,24392.0,24541.0,-817.0
2015-07-06,14,29005.0,26805.0,27539.0,-1174.0
2015-07-06,15,32296.0,29395.0,30464.0,-1785.0
2015-07-06,16,35403.0,32417.0,32974.0,-1916.0
2015-07-06,17,38050.0,34671.0,35050.0,-2275.0
2015-07-06,18,40186.0,36789.0,36649.0,-2205.0
2015-07-06,19,41116.0,37826.0,37313.0,-2206.0
2015-07-06,20,40900.0,37576.0,37569.0,-2272.0
2015-07-06,21,40390.0,37181.0,36948.0,-2293.0
2015-07-06,22,38995.0,35767.0,35951.0,-2299.0
2015-07-06,23,37326.0,34523.0,34808.0,-1882.0
2015-07-07,0,35604.0,32874.0,33073.0,-1751.0
2015-07-07,1,34560.0,31721.0,31980.0,-1752.0
2015-07-07,2,33048.0,30328.0,30192.0,-1576.0
2015-07-07,3,30394.0,27836.0,27743.0,-1327.0
2015-07-07,4,27450.0,25438.0,25094.0,-875.0
