Date,Hour,Demand,Net generation,Day-ahead demand forecast,Total interchange
2015-07-01,0,93093.0,90996.0,36821.0,-2098.0
2015-07-01,1,93093.0,90996.0,36821.0,-2098.0
2015-07-01,2,93093.0,90996.0,36821.0,-2098.0
2015-07-01,3,93093.0,90996.0,36821.0,-2098.0
2015-07-01,4,93093.0,90996.0,36821.0,-2098.0
2015-07-01,5,84024.0,83944.0,29484.0,-80.0
2015-07-01,6,79791.0,80091.0,27756.0,301.0
2015-07-01,7,76760.0,77994.0,26643.0,1234.0
2015-07-01,8,74931.0,76820.0,26098.0,1888.0
2015-07-01,9,74368.0,76268.0,26289.0,1900.0
2015-07-01,10,77156.0,79049.0,27650.0,1893.0
2015-07-01,11,81032.0,82202.0,30157.0,1171.0
2015-07-01,12,86061.0,85000.0,32888.0,-1061.0
2015-07-01,13,89560.0,88002.0,34919.0,-1558.0
2015-07-01,14,93093.0,90996.0,36821.0,-2098.0
2015-07-01,15,97580.0,95479.0,38665.0,-2100.0
2015-07-01,16,101457.0,98933.0,40275.0,-2525.0
2015-07-01,17,104918.0,102025.0,41504.0,-2893.0
2015-07-01,18,108219.0,105373.0,42792.0,-2846.0
2015-07-01,19,110428.0,107497.0,43784.0,-2931.0
2015-07-01,20,112143.0,108858.0,44583.0,-3285.0
2015-07-01,21,113224.0,110553.0,45110.0,-2671.0
2015-07-01,22,112936.0,110206.0,44961.0,-2731.0
2015-07-01,23,110545.0,108167.0,43573.0,-2378.0
2015-07-02,0,106560.0,104340.0,42213.0,-2221.0
2015-07-02,1,103392.0,100959.0,41114.0,-2433.0
2015-07-02,2,101862.0,99746.0,40033.0,-2117.0
2015-07-02,3,96385.0,95179.0,36899.0,-1206.0
2015-07-02,4,89387.0,89613.0,33442.0,225.0
2015-07-02,5,82916.0,82864.0,29377.0,-52.0
2015-07-02,6,78807.0,79139.0,27567.0,333.0
2015-07-02,7,75981.0,76375.0,26464.0,395.0
2015-07-02,8,74349.0,75557.0,25850.0,1208.0
2015-07-02,9,74516.0,75423.0,25967.0,907.0
2015-07-02,10,76778.0,76847.0,27141.0,68.0
2015-07-02,11,79549.0,79578.0,29409.0,29.0
2015-07-02,12,83459.0,82349.0,31806.0,-1111.0
2015-07-02,13,87532.0,86403.0,33668.0,-1129.0
2015-07-02,14,90936.0,90079.0,35266.0,-857.0
2015-07-02,15,94310.0,93685.0,36703.0,-625.0
2015-07-02,16,96771.0,95847.0,37850.0,-924.0
2015-07-02,17,98424.0,97633.0,38804.0,-792.0
2015-07-02,18,99845.0,99145.0,39769.0,-700.0
2015-07-02,19,100168.0,99420.0,40463.0,-749.0
2015-07-02,20,100101.0,99526.0,41031.0,-575.0
2015-07-02,21,99948.0,98845.0,41564.0,-1103.0
2015-07-02,22,99598.0,98491.0,41525.0,-1106.0
2015-07-02,23,97607.0,96738.0,40466.0,-869.0
2015-07-03,0,94843.0,93718.0,39306.0,-1124.0
2015-07-03,1,92847.0,91410.0,38441.0,-1438.0
2015-07-03,2,92013.0,90806.0,37415.0,-1207.0
2015-07-03,3,86977.0,86594.0,34611.0,-384.0
2015-07-03,4,80446.0,81458.0,31519.0,1012.0
2015-07-03,5,75620.0,76980.0,26881.0,1359.0
2015-07-03,6,72699.0,75107.0,25393.0,2407.0
2015-07-03,7,70193.0,72794.0,24430.0,2602.0
2015-07-03,8,68542.0,71093.0,24035.0,2550.0
2015-07-03,9,68049.0,70670.0,24249.0,2622.0
2015-07-03,10,68821.0,70659.0,25370.0,1838.0
2015-07-03,11,69801.0,71115.0,27350.0,1314.0
2015-07-03,12,71654.0,72074.0,29629.0,420.0
2015-07-03,13,74843.0,75711.0,31463.0,868.0
2015-07-03,14,79828.0,80631.0,33079.0,801.0
2015-07-03,15,84252.0,83567.0,34479.0,-685.0
2015-07-03,16,87856.0,86706.0,35479.0,-1151.0
2015-07-03,17,91031.0,89772.0,36246.0,-1259.0
2015-07-03,18,93580.0,91820.0,37050.0,-1760.0
2015-07-03,19,95523.0,94001.0,37634.0,-1522.0
2015-07-03,20,97219.0,95807.0,38188.0,-1412.0
2015-07-03,21,97914.0,96683.0,38559.0,-1231.0
2015-07-03,22,97612.0,96405.0,38316.0,-1207.0
2015-07-03,23,95186.0,93776.0,37174.0,-1410.0
2015-07-04,0,91960.0,90747.0,35863.0,-1213.0
2015-07-04,1,90283.0,89203.0,35044.0,-1080.0
2015-07-04,2,89176.0,88730.0,34476.0,-445.0
2015-07-04,3,85357.0,85176.0,32409.0,-180.0
2015-07-04,4,80078.0,81130.0,29807.0,1052.0
2015-07-04,5,75461.0,76331.0,27458.0,871.0
2015-07-04,6,71516.0,73573.0,25872.0,2058.0
2015-07-04,7,69613.0,72813.0,24862.0,3200.0
2015-07-04,8,69288.0,72179.0,24265.0,2891.0
2015-07-04,9,68363.0,70356.0,23971.0,1993.0
2015-07-04,10,68490.0,70223.0,23911.0,1733.0
2015-07-04,11,68025.0,69499.0,24071.0,1474.0
2015-07-04,12,68880.0,70178.0,25369.0,1298.0
2015-07-04,13,71998.0,73431.0,27544.0,1432.0
2015-07-04,14,77278.0,78020.0,29390.0,742.0
2015-07-04,15,81867.0,81731.0,30664.0,-136.0
2015-07-04,16,85819.0,85787.0,31349.0,-32.0
2015-07-04,17,88684.0,88629.0,31732.0,-54.0
2015-07-04,18,90671.0,90555.0,31850.0,-117.0
2015-07-04,19,91974.0,91498.0,32005.0,-476.0
2015-07-04,20,93401.0,92865.0,32167.0,-536.0
2015-07-04,21,94158.0,93819.0,32473.0,-339.0
2015-07-04,22,93894.0,93797.0,32819.0,-97.0
2015-07-04,23,92096.0,92062.0,32256.0,-34.0
2015-07-05,0,88884.0,88787.0,31739.0,-97.0
2015-07-05,1,85964.0,85975.0,31482.0,12.0
2015-07-05,2,84073.0,84739.0,31458.0,666.0
2015-07-05,3,81456.0,81749.0,30068.0,293.0
2015-07-05,4,78170.0,79026.0,28071.0,856.0
2015-07-05,5,73295.0,73342.0,25451.0,47.0
2015-07-05,6,69134.0,71002.0,24060.0,1869.0
2015-07-05,7,66665.0,69028.0,23071.0,2364.0
2015-07-05,8,66391.0,68959.0,22511.0,2568.0
2015-07-05,9,66866.0,69222.0,22234.0,2356.0
2015-07-05,10,66751.0,68482.0,22039.0,1731.0
2015-07-05,11,66158.0,67372.0,21905.0,1215.0
2015-07-05,12,66817.0,67693.0,23130.0,876.0
2015-07-05,13,70584.0,71439.0,25301.0,855.0
2015-07-05,14,76273.0,77124.0,27623.0,851.0
2015-07-05,15,81818.0,81906.0,29547.0,88.0
2015-07-05,16,87146.0,87060.0,31118.0,-87.0
2015-07-05,17,91853.0,91669.0,32463.0,-184.0
2015-07-05,18,95849.0,95102.0,33623.0,-747.0
2015-07-05,19,99112.0,98243.0,34729.0,-869.0
2015-07-05,20,101731.0,100541.0,35872.0,-1190.0
2015-07-05,21,104023.0,103058.0,36834.0,-965.0
2015-07-05,22,105129.0,104148.0,37383.0,-982.0
2015-07-05,23,104277.0,103370.0,37017.0,-907.0
2015-07-06,0,101799.0,100935.0,36312.0,-865.0
2015-07-06,1,100078.0,99232.0,35840.0,-847.0
2015-07-06,2,99139.0,99048.0,35439.0,-90.0
2015-07-06,3,94792.0,95800.0,33212.0,1008.0
2015-07-06,4,88495.0,89946.0,30532.0,1451.0
2015-07-06,5,83060.0,83435.0,27934.0,375.0
2015-07-06,6,78722.0,80046.0,26324.0,1324.0
2015-07-06,7,76682.0,77850.0,25493.0,1168.0
2015-07-06,8,75883.0,76904.0,24948.0,1021.0
2015-07-06,9,75805.0,76813.0,25190.0,1008.0
2015-07-06,10,77945.0,78803.0,26235.0,858.0
2015-07-06,11,81372.0,82287.0,28404.0,916.0
2015-07-06,12,87521.0,86822.0,30973.0,-699.0
2015-07-06,13,93979.0,92689.0,33160.0,-1290.0
2015-07-06,14,100237.0,98279.0,35194.0,-1958.0
2015-07-06,15,106659.0,104080.0,37190.0,-2579.0
2015-07-06,16,112168.0,109128.0,38774.0,-3041.0
2015-07-06,17,116919.0,114366.0,40069.0,-2553.0
2015-07-06,18,120992.0,117879.0,41217.0,-3112.0
2015-07-06,19,123583.0,120508.0,41951.0,-3075.0
2015-07-06,20,124818.0,121373.0,42618.0,-3445.0
2015-07-06,21,125372.0,122531.0,43028.0,-2842.0
2015-07-06,22,125613.0,122448.0,43154.0,-3165.0
2015-07-06,23,123682.0,120976.0,42190.0,-2706.0
2015-07-07,0,119832.0,116611.0,40924.0,-3221.0
2015-07-07,1,116294.0,113141.0,39724.0,-3153.0
2015-07-07,2,114171.0,111977.0,38607.0,-2194.0
2015-07-07,3,107896.0,106477.0,35680.0,-1418.0
2015-07-07,4,100061.0,99324.0,32488.0,-737.0
2015-07-07,5,92989.0,92711.0,31194.0,-278.0
2015-07-07,6,88010.0,87509.0,29277.0,-500.0
2015-07-07,7,85012.0,84819.0,28082.0,-194.0
2015-07-07,8,83209.0,82711.0,27374.0,-498.0
2015-07-07,9,83257.0,82694.0,27454.0,-563.0
2015-07-07,10,85401.0,84695.0,28721.0,-706.0
2015-07-07,11,89568.0,88812.0,31074.0,-756.0
2015-07-07,12,95193.0,93932.0,33731.0,-1261.0
2015-07-07,13,100296.0,99037.0,35876.0,-1258.0
2015-07-07,14,106031.0,103793.0,37921.0,-2238.0
2015-07-07,15,112035.0,108894.0,40045.0,-3141.0
2015-07-07,16,117487.0,114101.0,41889.0,-3385.0
2015-07-07,17,121849.0,118325.0,43572.0,-3524.0
2015-07-07,18,125282.0,121355.0,45238.0,-3927.0
2015-07-07,19,126882.0,122864.0,46623.0,-4018.0
2015-07-07,20,127478.0,123665.0,47857.0,-3812.0
2015-07-07,21,127453.0,123328.0,48721.0,-4125.0
2015-07-07,22,126361.0,122697.0,48682.0,-3664.0
2015-07-07,23,123688.0,120583.0,47243.0,-3104.0
2015-07-08,0,119418.0,116219.0,45463.0,-3199.0
2015-07-08,1,115801.0,112962.0,44252.0,-2839.0
2015-07-08,2,113028.0,110349.0,42745.0,-2679.0
2015-07-08,3,105914.0,104373.0,39381.0,-1541.0
2015-07-08,4,98477.0,98100.0,35668.0,-377.0
2015-07-08,5,92330.0,98100.0,33801.0,
2015-07-08,6,88002.0,87509.0,31675.0,
2015-07-08,7,84847.0,84819.0,30112.0,
2015-07-08,8,82926.0,82711.0,29293.0,
2015-07-08,9,82966.0,82694.0,29292.0,
2015-07-08,10,85690.0,84695.0,30443.0,
2015-07-08,11,89853.0,88812.0,32508.0,
2015-07-08,12,94018.0,93932.0,34957.0,
2015-07-08,13,98070.0,99037.0,37004.0,
2015-07-08,14,102088.0,103793.0,39053.0,
2015-07-08,15,106737.0,108894.0,41014.0,
2015-07-08,16,110445.0,114101.0,42627.0,
2015-07-08,17,113450.0,118325.0,43866.0,
2015-07-08,18,115875.0,121355.0,44980.0,
2015-07-08,19,117258.0,122864.0,45683.0,
2015-07-08,20,117354.0,123665.0,46074.0,
2015-07-08,21,116504.0,123328.0,46114.0,
2015-07-08,22,115016.0,122697.0,45555.0,
2015-07-08,23,112615.0,120583.0,44003.0,
2015-07-09,0,109947.0,116219.0,42556.0,
2015-07-09,1,108428.0,112962.0,41650.0,
2015-07-09,2,107340.0,110349.0,40363.0,
2015-07-09,3,100993.0,104373.0,37292.0,
2015-07-09,4,94089.0,98100.0,33927.0,
2015-07-09,5,89486.0,89830.0,32183.0,344.0
2015-07-09,6,85774.0,87368.0,30160.0,1593.0
2015-07-09,7,82981.0,84989.0,28883.0,2008.0
2015-07-09,8,81367.0,83206.0,28102.0,1839.0
2015-07-09,9,81754.0,83745.0,28136.0,1991.0
2015-07-09,10,84823.0,86291.0,29240.0,1467.0
2015-07-09,11,90004.0,91053.0,31312.0,1050.0
2015-07-09,12,95132.0,95322.0,33806.0,190.0
2015-07-09,13,98455.0,98206.0,35953.0,-248.0
2015-07-09,14,102532.0,100955.0,37982.0,-1576.0
2015-07-09,15,107052.0,104993.0,39980.0,-2059.0
2015-07-09,16,111321.0,109158.0,41748.0,-2163.0
2015-07-09,17,114814.0,112477.0,43309.0,-2337.0
2015-07-09,18,117923.0,115657.0,44852.0,-2266.0
2015-07-09,19,119493.0,116504.0,46080.0,-2989.0
2015-07-09,20,120431.0,117596.0,47054.0,-2834.0
2015-07-09,21,121148.0,118138.0,47634.0,-3010.0
2015-07-09,22,120588.0,117820.0,47142.0,-2769.0
2015-07-09,23,118139.0,115680.0,45529.0,-2459.0
2015-07-10,0,114600.0,112054.0,43730.0,-2545.0
2015-07-10,1,111838.0,109036.0,42746.0,-2802.0
2015-07-10,2,109710.0,107357.0,41419.0,-2353.0
2015-07-10,3,103452.0,102033.0,38317.0,-1420.0
2015-07-10,4,96544.0,96201.0,34930.0,-343.0
2015-07-10,5,91528.0,91982.0,31706.0,454.0
2015-07-10,6,87390.0,88137.0,29654.0,747.0
2015-07-10,7,84032.0,84851.0,28116.0,819.0
2015-07-10,8,82017.0,82821.0,27312.0,804.0
2015-07-10,9,81558.0,82397.0,27275.0,838.0
2015-07-10,10,83705.0,84321.0,28183.0,615.0
2015-07-10,11,87371.0,87656.0,29968.0,286.0
2015-07-10,12,92016.0,91218.0,32104.0,-799.0
2015-07-10,13,95556.0,94770.0,34068.0,-786.0
2015-07-10,14,100187.0,99187.0,35904.0,-1000.0
2015-07-10,15,104555.0,103461.0,37688.0,-1094.0
2015-07-10,16,108282.0,106808.0,39101.0,-1473.0
2015-07-10,17,110858.0,109492.0,40412.0,-1366.0
2015-07-10,18,113367.0,111758.0,41648.0,-1609.0
2015-07-10,19,115585.0,114500.0,42657.0,-1085.0
2015-07-10,20,116664.0,115389.0,43504.0,-1275.0
2015-07-10,21,117812.0,116433.0,43967.0,-1379.0
2015-07-10,22,117560.0,115996.0,43502.0,-1564.0
2015-07-10,23,114629.0,113101.0,41764.0,-1529.0
2015-07-11,0,110117.0,108209.0,40035.0,-1908.0
2015-07-11,1,106243.0,104221.0,38949.0,-2022.0
2015-07-11,2,103978.0,102565.0,37782.0,-1412.0
2015-07-11,3,98372.0,97993.0,35272.0,-379.0
2015-07-11,4,92135.0,92870.0,32395.0,735.0
2015-07-11,5,86426.0,86878.0,30385.0,452.0
2015-07-11,6,81616.0,82696.0,28439.0,1080.0
2015-07-11,7,78781.0,80312.0,26999.0,1531.0
2015-07-11,8,76544.0,78099.0,26091.0,1556.0
2015-07-11,9,75413.0,76698.0,25679.0,1285.0
2015-07-11,10,75484.0,76591.0,25626.0,1107.0
2015-07-11,11,76265.0,77127.0,25871.0,863.0
2015-07-11,12,78536.0,79229.0,27377.0,692.0
2015-07-11,13,83592.0,84246.0,29716.0,653.0
2015-07-11,14,87593.0,88346.0,32046.0,753.0
2015-07-11,15,93336.0,93903.0,34069.0,567.0
2015-07-11,16,97861.0,97569.0,35675.0,-292.0
2015-07-11,17,101289.0,100869.0,37016.0,-420.0
2015-07-11,18,103721.0,103196.0,38038.0,-525.0
2015-07-11,19,105430.0,105401.0,39003.0,-29.0
2015-07-11,20,107104.0,107228.0,39963.0,124.0
2015-07-11,21,108607.0,108685.0,40628.0,78.0
2015-07-11,22,108943.0,108668.0,40794.0,-275.0
2015-07-11,23,107558.0,107004.0,39755.0,-554.0
2015-07-12,0,103849.0,103761.0,38246.0,-89.0
2015-07-12,1,100268.0,100216.0,37262.0,-52.0
2015-07-12,2,98881.0,99425.0,36503.0,544.0
2015-07-12,3,94290.0,95070.0,34422.0,780.0
2015-07-12,4,89321.0,91020.0,31831.0,1698.0
2015-07-12,5,84114.0,84538.0,29468.0,425.0
2015-07-12,6,79310.0,80172.0,27571.0,862.0
2015-07-12,7,76176.0,76981.0,26215.0,805.0
2015-07-12,8,73945.0,75193.0,25261.0,1248.0
2015-07-12,9,72942.0,74399.0,24807.0,1457.0
2015-07-12,10,72670.0,73976.0,24537.0,1306.0
2015-07-12,11,72343.0,73776.0,24597.0,1434.0
2015-07-12,12,73677.0,75106.0,26042.0,1429.0
2015-07-12,13,77035.0,78705.0,28534.0,1670.0
