Date,Hour,Demand,Net generation,Day-ahead demand forecast,Total interchange
2015-07-01,0,85440.0,81435.5,88900.0,-1013.5
2015-07-01,1,85440.0,81435.5,88900.0,-1013.5
2015-07-01,2,85440.0,81435.5,88900.0,-1013.5
2015-07-01,3,85440.0,81435.5,88900.0,-1013.5
2015-07-01,4,85440.0,81435.5,88900.0,-1013.5
2015-07-01,5,85440.0,81435.5,88900.0,-1013.5
2015-07-01,6,73432.0,70103.0,76958.0,-2054.0
2015-07-01,7,70211.0,64905.0,74126.0,-2421.0
2015-07-01,8,68163.0,62094.0,72102.0,-2423.0
2015-07-01,9,67309.0,60872.0,71300.0,-2375.0
2015-07-01,10,68456.0,61409.0,72363.0,-2603.0
2015-07-01,11,71503.0,64785.0,75374.0,-2424.0
2015-07-01,12,75490.0,70384.0,78240.0,-2180.0
2015-07-01,13,79965.0,75582.0,82751.0,-1632.0
2015-07-01,14,83779.0,79541.0,86916.0,-1372.0
2015-07-01,15,87101.0,83330.0,90884.0,-608.0
2015-07-01,16,90636.0,86770.0,94708.0,-392.0
2015-07-01,17,93663.0,89720.0,97913.0,-655.0
2015-07-01,18,96132.0,92539.0,100527.0,-374.0
2015-07-01,19,97459.0,94306.0,102633.0,7.0
2015-07-01,20,97953.0,95238.0,103730.0,633.0
2015-07-01,21,97830.0,95199.0,104247.0,510.0
2015-07-01,22,97515.0,94698.0,104258.0,308.0
2015-07-01,23,96279.0,93368.0,103100.0,-39.0
2015-07-02,0,94694.0,91893.0,100720.0,-290.0
2015-07-02,1,92555.0,90396.0,97762.0,223.0
2015-07-02,2,91525.0,89340.0,96197.0,342.0
2015-07-02,3,89457.0,87715.0,93336.0,-240.0
2015-07-02,4,83633.0,82303.0,86913.0,-1450.0
2015-07-02,5,77437.0,75830.0,80783.0,-1611.0
2015-07-02,6,72863.0,70473.0,74996.0,-1826.0
2015-07-02,7,69862.0,66705.0,72950.0,-1937.0
2015-07-02,8,67951.0,63829.0,71088.0,-1811.0
2015-07-02,9,67153.0,62747.0,70374.0,-1702.0
2015-07-02,10,68405.0,63946.0,71423.0,-1786.0
2015-07-02,11,71204.0,66087.0,74412.0,-2363.0
2015-07-02,12,75033.0,70739.0,78277.0,-1627.0
2015-07-02,13,78999.0,74986.0,81711.0,-1252.0
2015-07-02,14,82401.0,78221.0,85566.0,-974.0
2015-07-02,15,85489.0,81381.0,89181.0,-264.0
2015-07-02,16,88452.0,84711.0,92519.0,-98.0
2015-07-02,17,90991.0,87134.0,95181.0,-221.0
2015-07-02,18,93456.0,89652.0,97403.0,-385.0
2015-07-02,19,95601.0,91943.0,99407.0,-207.0
2015-07-02,20,97046.0,93284.0,100600.0,-825.0
2015-07-02,21,97627.0,93796.0,101293.0,-1278.0
2015-07-02,22,97675.0,93877.0,101327.0,-1074.0
2015-07-02,23,96420.0,92659.0,100243.0,-1608.0
2015-07-03,0,93971.0,90565.0,98045.0,-1353.0
2015-07-03,1,91118.0,87952.0,95119.0,-1510.0
2015-07-03,2,89650.0,86060.0,93665.0,-1566.0
2015-07-03,3,87493.0,84444.0,91015.0,-2061.0
2015-07-03,4,81759.0,79636.0,84925.0,-2427.0
2015-07-03,5,75509.0,73005.0,79084.0,-2516.0
2015-07-03,6,70928.0,66931.0,73490.0,-3233.0
2015-07-03,7,67829.0,62328.0,71257.0,-3469.0
2015-07-03,8,65731.0,59604.0,69239.0,-3312.0
2015-07-03,9,64468.0,58049.0,68382.0,-3322.0
2015-07-03,10,64617.0,58343.0,69214.0,-3109.0
2015-07-03,11,65541.0,59672.0,71650.0,-3099.0
