Date,Hour,Demand,Net generation,Day-ahead demand forecast,Total interchange
2015-07-01,0,16275.0,14684.0,16160.0,-1550.0
2015-07-01,1,16275.0,14684.0,16160.0,-1550.0
2015-07-01,2,16275.0,14684.0,16160.0,-1550.0
2015-07-01,3,16275.0,14684.0,16160.0,-1550.0
2015-07-01,4,16275.0,14684.0,16160.0,-1550.0
2015-07-01,5,12583.0,11322.0,11810.0,-1261.0
2015-07-01,6,12349.0,11376.0,11190.0,-973.0
2015-07-01,7,12445.0,11305.0,10860.0,-1140.0
2015-07-01,8,12385.0,11303.0,10760.0,-1082.0
2015-07-01,9,12387.0,11460.0,11200.0,-927.0
2015-07-01,10,12931.0,11817.0,11830.0,-1114.0
2015-07-01,11,13655.0,12358.0,13200.0,-1297.0
2015-07-01,12,14740.0,13630.0,14640.0,-1110.0
2015-07-01,13,15669.0,14357.0,15530.0,-1312.0
2015-07-01,14,16275.0,14684.0,16160.0,-1591.0
2015-07-01,15,16801.0,15202.0,16750.0,-1599.0
2015-07-01,16,17112.0,15482.0,17160.0,-1630.0
2015-07-01,17,17218.0,15560.0,17450.0,-1658.0
2015-07-01,18,17569.0,15763.0,17830.0,-1806.0
2015-07-01,19,17846.0,16163.0,18060.0,-1683.0
2015-07-01,20,18117.0,16443.0,18180.0,-1674.0
2015-07-01,21,18354.0,16771.0,18260.0,-1583.0
2015-07-01,22,18456.0,16906.0,18190.0,-1550.0
2015-07-01,23,18150.0,16488.0,17820.0,-1662.0
2015-07-02,0,17653.0,16007.0,17410.0,-1646.0
2015-07-02,1,17286.0,15468.0,17290.0,-1818.0
2015-07-02,2,16701.0,14882.0,16720.0,-1819.0
2015-07-02,3,15220.0,13830.0,15240.0,-1390.0
2015-07-02,4,13594.0,12151.0,13690.0,-1443.0
2015-07-02,5,13011.0,11606.0,12460.0,-1405.0
2015-07-02,6,12881.0,11648.0,11770.0,-1233.0
2015-07-02,7,12635.0,11237.0,11320.0,-1398.0
2015-07-02,8,12426.0,11085.0,11090.0,-1341.0
2015-07-02,9,12459.0,11109.0,11190.0,-1350.0
2015-07-02,10,12942.0,11656.0,11580.0,-1286.0
2015-07-02,11,13642.0,12557.0,13030.0,-1085.0
2015-07-02,12,14158.0,13124.0,14380.0,-1034.0
2015-07-02,13,15123.0,14120.0,15220.0,-1003.0
2015-07-02,14,15784.0,14661.0,15860.0,-1123.0
2015-07-02,15,16339.0,15030.0,16450.0,-1309.0
2015-07-02,16,16730.0,15205.0,16880.0,-1525.0
2015-07-02,17,16988.0,15328.0,17030.0,-1660.0
2015-07-02,18,17270.0,15646.0,17370.0,-1624.0
2015-07-02,19,17394.0,15860.0,17770.0,-1534.0
2015-07-02,20,17342.0,15794.0,17930.0,-1548.0
2015-07-02,21,17280.0,15573.0,18200.0,-1707.0
2015-07-02,22,17139.0,15336.0,18000.0,-1803.0
2015-07-02,23,16726.0,14943.0,17520.0,-1783.0
2015-07-03,0,16305.0,14608.0,16950.0,-1697.0
2015-07-03,1,16178.0,14409.0,16730.0,-1769.0
2015-07-03,2,15779.0,14308.0,16140.0,-1471.0
2015-07-03,3,14564.0,13521.0,14690.0,-1043.0
2015-07-03,4,13356.0,12292.0,13250.0,-1064.0
2015-07-03,5,12463.0,11312.0,12130.0,-1151.0
2015-07-03,6,11827.0,11003.0,11340.0,-824.0
2015-07-03,7,11543.0,10788.0,10850.0,-755.0
2015-07-03,8,11491.0,10781.0,10560.0,-710.0
2015-07-03,9,11705.0,10922.0,10340.0,-783.0
2015-07-03,10,11785.0,10666.0,10380.0,-1119.0
2015-07-03,11,11714.0,10899.0,10830.0,-815.0
2015-07-03,12,12415.0,11388.0,11800.0,-1027.0
2015-07-03,13,13099.0,12052.0,12860.0,-1047.0
2015-07-03,14,13793.0,12840.0,13660.0,-953.0
2015-07-03,15,14295.0,13421.0,14170.0,-874.0
2015-07-03,16,14614.0,13470.0,14480.0,-1144.0
2015-07-03,17,14792.0,13754.0,14670.0,-1038.0
2015-07-03,18,14984.0,13878.0,14760.0,-1106.0
2015-07-03,19,15227.0,14071.0,14820.0,-1156.0
2015-07-03,20,15551.0,14482.0,14860.0,-1069.0
2015-07-03,21,15947.0,14826.0,14830.0,-1121.0
2015-07-03,22,16186.0,15143.0,14910.0,-1043.0
2015-07-03,23,15858.0,14978.0,14830.0,-880.0
2015-07-04,0,15256.0,14273.0,14660.0,-983.0
2015-07-04,1,14964.0,14000.0,14510.0,-964.0
2015-07-04,2,14578.0,13604.0,14490.0,-974.0
2015-07-04,3,13600.0,12707.0,13500.0,-893.0
2015-07-04,4,12491.0,11715.0,12310.0,-776.0
2015-07-04,5,11669.0,11010.0,11410.0,-659.0
2015-07-04,6,11348.0,10590.0,10840.0,-758.0
2015-07-04,7,11348.0,10270.0,10520.0,-1078.0
2015-07-04,8,11349.0,10211.0,10330.0,-1138.0
2015-07-04,9,11283.0,10283.0,10270.0,-1000.0
2015-07-04,10,11274.0,10233.0,10090.0,-1041.0
2015-07-04,11,11574.0,10484.0,10420.0,-1090.0
2015-07-04,12,11956.0,11218.0,11230.0,-738.0
2015-07-04,13,12243.0,11525.0,12580.0,-718.0
2015-07-04,14,12809.0,12030.0,13530.0,-779.0
2015-07-04,15,13352.0,12686.0,14150.0,-666.0
2015-07-04,16,13635.0,12837.0,14480.0,-798.0
2015-07-04,17,13828.0,13059.0,14650.0,-769.0
2015-07-04,18,13749.0,12893.0,14680.0,-856.0
2015-07-04,19,13511.0,12566.0,14860.0,-945.0
2015-07-04,20,13334.0,12372.0,14890.0,-962.0
2015-07-04,21,13297.0,12349.0,14820.0,-948.0
2015-07-04,22,13386.0,12405.0,14860.0,-981.0
2015-07-04,23,13371.0,12491.0,14860.0,-880.0
2015-07-05,0,13208.0,12524.0,14600.0,-684.0
2015-07-05,1,13137.0,12372.0,14350.0,-765.0
2015-07-05,2,12953.0,12344.0,14020.0,-609.0
2015-07-05,3,12421.0,11713.0,13070.0,-708.0
2015-07-05,4,11655.0,11168.0,11980.0,-487.0
2015-07-05,5,10803.0,10455.0,10980.0,-348.0
2015-07-05,6,10678.0,10381.0,10420.0,-297.0
2015-07-05,7,10755.0,10405.0,10020.0,-350.0
2015-07-05,8,10711.0,10303.0,9790.0,-408.0
2015-07-05,9,10885.0,10326.0,9740.0,-559.0
2015-07-05,10,10675.0,10342.0,9620.0,-333.0
2015-07-05,11,10368.0,10446.0,10020.0,78.0
2015-07-05,12,10611.0,10808.0,10950.0,197.0
2015-07-05,13,11543.0,11539.0,12030.0,-4.0
2015-07-05,14,12519.0,12007.0,13010.0,-512.0
2015-07-05,15,13338.0,12627.0,13790.0,-711.0
2015-07-05,16,13975.0,13287.0,14430.0,-688.0
2015-07-05,17,14510.0,14082.0,14840.0,-428.0
2015-07-05,18,14883.0,14002.0,15190.0,-881.0
2015-07-05,19,15226.0,14288.0,15540.0,-938.0
2015-07-05,20,15647.0,14705.0,15740.0,-942.0
2015-07-05,21,16138.0,14696.0,16300.0,-1442.0
2015-07-05,22,16595.0,15247.0,16670.0,-1348.0
2015-07-05,23,16653.0,15470.0,16580.0,-1183.0
2015-07-06,0,16440.0,15442.0,16260.0,-998.0
2015-07-06,1,16383.0,14972.0,16140.0,-1411.0
2015-07-06,2,16084.0,15156.0,15810.0,-928.0
2015-07-06,3,14848.0,14383.0,14580.0,-465.0
2015-07-06,4,13411.0,12850.0,13360.0,-561.0
2015-07-06,5,12775.0,12073.0,12080.0,-702.0
2015-07-06,6,12634.0,12030.0,11480.0,-604.0
2015-07-06,7,12607.0,11992.0,11090.0,-615.0
2015-07-06,8,12590.0,12016.0,10960.0,-574.0
2015-07-06,9,12640.0,11983.0,11130.0,-657.0
2015-07-06,10,12575.0,11953.0,11750.0,-622.0
2015-07-06,11,13004.0,12449.0,13250.0,-555.0
2015-07-06,12,14476.0,13836.0,14840.0,-640.0
2015-07-06,13,15660.0,14843.0,15920.0,-817.0
2015-07-06,14,16665.0,15852.0,16810.0,-813.0
2015-07-06,15,17625.0,16720.0,17690.0,-905.0
2015-07-06,16,18394.0,17444.0,18350.0,-950.0
2015-07-06,17,18838.0,17521.0,18870.0,-1317.0
2015-07-06,18,19262.0,17925.0,19420.0,-1337.0
2015-07-06,19,19504.0,18032.0,19790.0,-1472.0
2015-07-06,20,19680.0,18282.0,20080.0,-1398.0
2015-07-06,21,19896.0,18601.0,20340.0,-1295.0
2015-07-06,22,20011.0,18966.0,20170.0,-1045.0
2015-07-06,23,19683.0,18562.0,19730.0,-1121.0
2015-07-07,0,19154.0,17852.0,19080.0,-1302.0
2015-07-07,1,18843.0,17354.0,18790.0,-1489.0
2015-07-07,2,18103.0,16899.0,17950.0,-1204.0
