Date,Hour,Demand,Net generation,Day-ahead demand forecast,Total interchange
2015-07-01,0,20971.0,17865.0,0.0,-3080.0
2015-07-01,1,20971.0,17865.0,0.0,-3080.0
2015-07-01,2,20971.0,17865.0,0.0,-3080.0
2015-07-01,3,20971.0,17865.0,0.0,-3080.0
2015-07-01,4,20971.0,17865.0,0.0,-3080.0
2015-07-01,5,16891.0,14444.0,16045.0,-2447.0
2015-07-01,6,16027.0,13809.0,0.0,-2218.0
2015-07-01,7,15541.0,13435.0,0.0,-2106.0
2015-07-01,8,15283.0,13144.0,0.0,-2139.0
2015-07-01,9,15304.0,13147.0,0.0,-2157.0
2015-07-01,10,15874.0,13771.0,0.0,-2103.0
2015-07-01,11,17161.0,14635.0,0.0,-2526.0
2015-07-01,12,18690.0,15545.0,0.0,-3145.0
2015-07-01,13,19956.0,16448.0,0.0,-3508.0
2015-07-01,14,20971.0,17865.0,0.0,-3106.0
2015-07-01,15,21849.0,18554.0,0.0,-3295.0
2015-07-01,16,22471.0,19391.0,0.0,-3080.0
2015-07-01,17,22809.0,19766.0,0.0,-3043.0
2015-07-01,18,23260.0,20204.0,0.0,-3056.0
2015-07-01,19,23606.0,20246.0,0.0,-3360.0
2015-07-01,20,23778.0,20585.0,0.0,-3193.0
2015-07-01,21,23804.0,20089.0,0.0,-3715.0
2015-07-01,22,23664.0,19849.0,0.0,-3815.0
2015-07-01,23,22984.0,19256.0,0.0,-3728.0
2015-07-02,0,22262.0,18691.0,0.0,-3571.0
2015-07-02,1,21746.0,18233.0,0.0,-3513.0
2015-07-02,2,21525.0,18252.0,0.0,-3273.0
2015-07-02,3,20149.0,16872.0,0.0,-3277.0
2015-07-02,4,18493.0,15582.0,0.0,-2911.0
2015-07-02,5,17090.0,14478.0,16893.0,-2612.0
2015-07-02,6,16052.0,13546.0,16256.0,-2506.0
2015-07-02,7,15356.0,13247.0,15665.0,-2109.0
2015-07-02,8,14936.0,13103.0,15274.0,-1833.0
2015-07-02,9,14884.0,13241.0,15185.0,-1643.0
2015-07-02,10,15314.0,13337.0,15325.0,-1977.0
2015-07-02,11,16591.0,14106.0,16160.0,-2485.0
2015-07-02,12,18271.0,15132.0,17721.0,-3139.0
2015-07-02,13,19470.0,16023.0,19122.0,-3447.0
2015-07-02,14,20364.0,16564.0,20140.0,-3800.0
2015-07-02,15,21181.0,16964.0,20935.0,-4217.0
2015-07-02,16,21714.0,17718.0,21494.0,-3996.0
2015-07-02,17,22057.0,18076.0,21846.0,-3981.0
2015-07-02,18,22313.0,18184.0,22160.0,-4129.0
2015-07-02,19,22337.0,18265.0,22431.0,-4072.0
2015-07-02,20,22136.0,18217.0,22632.0,-3919.0
2015-07-02,21,21972.0,18709.0,22650.0,-3263.0
2015-07-02,22,21717.0,18841.0,22605.0,-2876.0
2015-07-02,23,21071.0,17899.0,22037.0,-3172.0
2015-07-03,0,20473.0,17446.0,21253.0,-3027.0
2015-07-03,1,20195.0,17193.0,20651.0,-3002.0
2015-07-03,2,19896.0,17085.0,20485.0,-2811.0
2015-07-03,3,18717.0,15774.0,19491.0,-2943.0
2015-07-03,4,17352.0,14715.0,18106.0,-2637.0
2015-07-03,5,16108.0,13636.0,16584.0,-2472.0
2015-07-03,6,15179.0,12688.0,15631.0,-2491.0
2015-07-03,7,14519.0,12247.0,14911.0,-2272.0
2015-07-03,8,14107.0,11948.0,14399.0,-2159.0
2015-07-03,9,13947.0,11990.0,14218.0,-1957.0
2015-07-03,10,13996.0,12253.0,13964.0,-1743.0
2015-07-03,11,14541.0,12544.0,14488.0,-1997.0
2015-07-03,12,15620.0,12834.0,15600.0,-2786.0
2015-07-03,13,16746.0,13737.0,16799.0,-3009.0
2015-07-03,14,17752.0,14547.0,17966.0,-3205.0
2015-07-03,15,18535.0,15235.0,18978.0,-3300.0
2015-07-03,16,19062.0,15999.0,19557.0,-3063.0
2015-07-03,17,19430.0,16407.0,19856.0,-3023.0
2015-07-03,18,19745.0,16529.0,20135.0,-3216.0
2015-07-03,19,20061.0,16990.0,20295.0,-3071.0
2015-07-03,20,20435.0,17068.0,20454.0,-3367.0
2015-07-03,21,20675.0,17246.0,20427.0,-3429.0
2015-07-03,22,20585.0,17023.0,20214.0,-3562.0
2015-07-03,23,20138.0,16725.0,19438.0,-3413.0
2015-07-04,0,19525.0,16253.0,18602.0,-3272.0
2015-07-04,1,19172.0,16137.0,18045.0,-3035.0
2015-07-04,2,19034.0,16080.0,17925.0,-2954.0
2015-07-04,3,18112.0,14898.0,17615.0,-3214.0
2015-07-04,4,16956.0,14331.0,16974.0,-2625.0
2015-07-04,5,15872.0,13594.0,15771.0,-2278.0
2015-07-04,6,15036.0,12938.0,15182.0,-2098.0
2015-07-04,7,14479.0,12735.0,14583.0,-1744.0
2015-07-04,8,14118.0,12524.0,14134.0,-1594.0
2015-07-04,9,13930.0,12278.0,13925.0,-1652.0
2015-07-04,10,13891.0,12483.0,13369.0,-1408.0
2015-07-04,11,14069.0,12761.0,13254.0,-1308.0
2015-07-04,12,14758.0,13317.0,13704.0,-1441.0
2015-07-04,13,15804.0,13915.0,14779.0,-1889.0
2015-07-04,14,16822.0,14671.0,15898.0,-2151.0
2015-07-04,15,17572.0,15598.0,16766.0,-1974.0
2015-07-04,16,17963.0,15773.0,17182.0,-2190.0
2015-07-04,17,18211.0,16104.0,17309.0,-2107.0
2015-07-04,18,18192.0,16164.0,17319.0,-2028.0
2015-07-04,19,18058.0,16134.0,17279.0,-1924.0
2015-07-04,20,17974.0,16295.0,17252.0,-1679.0
2015-07-04,21,18087.0,16531.0,17166.0,-1556.0
2015-07-04,22,18168.0,16424.0,17122.0,-1744.0
2015-07-04,23,17927.0,15848.0,16892.0,-2079.0
2015-07-05,0,17503.0,15557.0,16524.0,-1946.0
2015-07-05,1,17246.0,15461.0,16290.0,-1785.0
