Date,Hour,Demand,Net generation,Day-ahead demand forecast,Total interchange
2015-07-01,0,28775.5,31429.5,30865.5,2635.0
2015-07-01,1,28775.5,31429.5,30865.5,2635.0
2015-07-01,2,28775.5,31429.5,30865.5,2635.0
2015-07-01,3,28775.5,31429.5,30865.5,2635.0
2015-07-01,4,28775.5,31429.5,30865.5,2635.0
2015-07-01,5,28775.5,31429.5,30865.5,2635.0
2015-07-01,6,25245.0,25912.0,25031.0,371.0
2015-07-01,7,24516.0,25200.0,23845.0,389.0
2015-07-01,8,23765.0,24580.0,23062.0,522.0
2015-07-01,9,23554.0,24311.0,22807.0,462.0
2015-07-01,10,24063.0,24823.0,23248.0,760.0
2015-07-01,11,24476.0,25547.0,24274.0,1065.0
2015-07-01,12,25137.0,27026.0,25451.0,1889.0
2015-07-01,13,26149.0,28283.0,27339.0,2130.0
2015-07-01,14,27802.0,30455.0,29585.0,2651.0
2015-07-01,15,29749.0,32404.0,32146.0,2650.0
2015-07-01,16,31656.0,34278.0,34518.0,2620.0
2015-07-01,17,33554.0,36222.0,36488.0,2671.0
2015-07-01,18,35574.0,38596.0,38193.0,3021.0
2015-07-01,19,37352.0,40476.0,39248.0,3125.0
2015-07-01,20,38253.0,41569.0,39938.0,3322.0
2015-07-01,21,38457.0,41455.0,40226.0,3006.0
2015-07-01,22,37670.0,40561.0,39959.0,2893.0
2015-07-01,23,36110.0,38752.0,39342.0,2652.0
2015-07-02,0,34463.0,37055.0,38035.0,2598.0
2015-07-02,1,33016.0,35392.0,36243.0,2385.0
2015-07-02,2,32436.0,34860.0,35603.0,2414.0
2015-07-02,3,30526.0,32942.0,33331.0,2121.0
2015-07-02,4,25966.0,27794.0,30329.0,1533.0
2015-07-02,5,24382.0,25376.0,27645.0,699.0
2015-07-02,6,25405.0,26197.0,24575.0,496.0
2015-07-02,7,24441.0,25120.0,23461.0,385.0
2015-07-02,8,23722.0,24513.0,22791.0,496.0
2015-07-02,9,23570.0,24331.0,22553.0,467.0
2015-07-02,10,24142.0,24969.0,23148.0,825.0
2015-07-02,11,25254.0,26157.0,24283.0,899.0
2015-07-02,12,25606.0,27185.0,25491.0,1578.0
2015-07-02,13,26837.0,29200.0,27233.0,2358.0
2015-07-02,14,28617.0,31075.0,29327.0,2456.0
2015-07-02,15,30704.0,33209.0,31593.0,2504.0
2015-07-02,16,32679.0,35443.0,33757.0,2767.0
2015-07-02,17,35050.0,37707.0,35344.0,2654.0
2015-07-02,18,36607.0,39376.0,36551.0,2772.0
2015-07-02,19,36970.0,40395.0,37576.0,3430.0
2015-07-02,20,37294.0,40834.0,38249.0,3550.0
2015-07-02,21,36682.0,40471.0,38627.0,3792.0
2015-07-02,22,35534.0,39574.0,38483.0,4045.0
2015-07-02,23,34082.0,38264.0,37950.0,4191.0
2015-07-03,0,33854.0,36729.0,36792.0,2883.0
2015-07-03,1,32893.0,35671.0,35294.0,2783.0
2015-07-03,2,32696.0,35343.0,34856.0,2645.0
2015-07-03,3,31136.0,33770.0,32797.0,2338.0
2015-07-03,4,29258.0,30576.0,29953.0,1022.0
2015-07-03,5,27287.0,28592.0,27378.0,1008.0
2015-07-03,6,26340.0,27232.0,24954.0,599.0
2015-07-03,7,25546.0,26163.0,23658.0,321.0
2015-07-03,8,25067.0,25694.0,22727.0,334.0
2015-07-03,9,24860.0,25455.0,22155.0,301.0
2015-07-03,10,25023.0,25480.0,21961.0,455.0
2015-07-03,11,25056.0,25648.0,21647.0,586.0
2015-07-03,12,24837.0,25898.0,22004.0,1058.0
2015-07-03,13,25895.0,27080.0,24157.0,1185.0
2015-07-03,14,27107.0,28640.0,26893.0,1529.0
2015-07-03,15,28865.0,31279.0,29513.0,2414.0
2015-07-03,16,30071.0,32622.0,31816.0,2549.0
2015-07-03,17,31427.0,34470.0,33804.0,3038.0
2015-07-03,18,32654.0,36125.0,35484.0,3474.0
2015-07-03,19,33542.0,37644.0,36647.0,4105.0
2015-07-03,20,33780.0,37847.0,37347.0,4075.0
2015-07-03,21,34110.0,38081.0,37719.0,3977.0
2015-07-03,22,34267.0,38322.0,37554.0,4057.0
2015-07-03,23,33907.0,37623.0,36904.0,3726.0
2015-07-04,0,32909.0,35992.0,35698.0,3093.0
2015-07-04,1,31791.0,34425.0,34046.0,2647.0
2015-07-04,2,31403.0,34182.0,33383.0,2770.0
2015-07-04,3,29839.0,32531.0,31385.0,2396.0
2015-07-04,4,27061.0,28655.0,28750.0,1302.0
2015-07-04,5,25369.0,26376.0,26297.0,712.0
2015-07-04,6,23677.0,24492.0,24836.0,519.0
2015-07-04,7,23098.0,23610.0,23438.0,217.0
2015-07-04,8,22359.0,23069.0,22435.0,418.0
2015-07-04,9,21889.0,22495.0,21851.0,311.0
2015-07-04,10,21857.0,22323.0,21604.0,464.0
2015-07-04,11,21422.0,21858.0,21245.0,432.0
2015-07-04,12,21095.0,21590.0,21479.0,494.0
2015-07-04,13,21946.0,22982.0,23606.0,1030.0
2015-07-04,14,23607.0,25162.0,26260.0,1555.0
2015-07-04,15,25689.0,28493.0,28966.0,2802.0
2015-07-04,16,27400.0,30383.0,31321.0,2971.0
2015-07-04,17,28777.0,31921.0,33059.0,3149.0
2015-07-04,18,30074.0,32949.0,34317.0,2877.0
2015-07-04,19,31491.0,34565.0,35124.0,3076.0
2015-07-04,20,32012.0,35098.0,35585.0,3089.0
2015-07-04,21,32146.0,35034.0,35774.0,2896.0
2015-07-04,22,31894.0,34741.0,35516.0,2852.0
2015-07-04,23,30848.0,33583.0,34884.0,2742.0
2015-07-05,0,29154.0,31901.0,33551.0,2748.0
2015-07-05,1,27697.0,30215.0,31871.0,2519.0
2015-07-05,2,27076.0,29690.0,31612.0,2606.0
2015-07-05,3,26104.0,28212.0,30063.0,1813.0
2015-07-05,4,25142.0,26835.0,27849.0,1397.0
2015-07-05,5,23701.0,24879.0,25521.0,885.0
2015-07-05,6,22155.0,23056.0,24051.0,593.0
2015-07-05,7,21484.0,22206.0,22866.0,430.0
2015-07-05,8,21007.0,21584.0,21984.0,283.0
2015-07-05,9,20719.0,21225.0,21492.0,215.0
2015-07-05,10,20645.0,20935.0,21197.0,290.0
2015-07-05,11,20373.0,20948.0,20877.0,572.0
2015-07-05,12,20339.0,21011.0,21125.0,671.0
2015-07-05,13,21542.0,22777.0,23207.0,1231.0
2015-07-05,14,22982.0,24800.0,25673.0,1817.0
2015-07-05,15,24761.0,27405.0,27699.0,2639.0
2015-07-05,16,26216.0,29069.0,29352.0,2852.0
2015-07-05,17,27659.0,30617.0,30849.0,2956.0
2015-07-05,18,28757.0,31729.0,32447.0,2972.0
2015-07-05,19,29499.0,32429.0,33491.0,2931.0
2015-07-05,20,30060.0,33046.0,34139.0,2983.0
2015-07-05,21,30467.0,33495.0,34491.0,3030.0
2015-07-05,22,30694.0,33759.0,34302.0,3064.0
2015-07-05,23,30650.0,33554.0,33707.0,2904.0
2015-07-06,0,29867.0,32624.0,32815.0,2757.0
2015-07-06,1,28888.0,31417.0,31888.0,2526.0
2015-07-06,2,28859.0,31316.0,31745.0,2448.0
2015-07-06,3,27399.0,29522.0,29886.0,1829.0
2015-07-06,4,25136.0,26770.0,27208.0,1342.0
2015-07-06,5,23391.0,24813.0,24775.0,1129.0
2015-07-06,6,23658.0,24429.0,23347.0,477.0
2015-07-06,7,22892.0,23713.0,22413.0,527.0
