Date,Hour,Demand,Net generation,Day-ahead demand forecast,Total interchange
2015-07-01,0,14022.5,18873.0,14149.5,4827.5
2015-07-01,1,14022.5,18873.0,14149.5,4827.5
2015-07-01,2,14022.5,18873.0,14149.5,4827.5
2015-07-01,3,14022.5,18873.0,14149.5,4827.5
2015-07-01,4,14022.5,18873.0,14149.5,4827.5
2015-07-01,5,14022.5,18873.0,14149.5,4827.5
2015-07-01,6,14022.5,18873.0,14149.5,4827.5
2015-07-01,7,14022.5,18873.0,14149.5,4827.5
2015-07-01,8,13809.0,18015.0,13512.0,4193.0
2015-07-01,9,13049.0,16812.0,12822.0,3748.0
2015-07-01,10,12565.0,16348.0,12381.0,3769.0
2015-07-01,11,12278.0,16012.0,12141.0,3724.0
2015-07-01,12,12284.0,15944.0,12154.0,3649.0
2015-07-01,13,12360.0,16300.0,12288.0,3922.0
2015-07-01,14,12761.0,17366.0,12784.0,4601.0
2015-07-01,15,13449.0,18360.0,13655.0,4911.0
2015-07-01,16,14236.0,19386.0,14644.0,5142.0
2015-07-01,17,15153.0,20437.0,15814.0,5275.0
2015-07-01,18,16185.0,21476.0,16889.0,5290.0
2015-07-01,19,17137.0,22533.0,17867.0,5393.0
2015-07-01,20,17958.0,23048.0,18783.0,5081.0
2015-07-01,21,18778.0,23530.0,19590.0,4744.0
2015-07-01,22,19305.0,24300.0,20012.0,4982.0
2015-07-01,23,19421.0,24587.0,20336.0,5149.0
2015-07-02,0,19369.0,24416.0,14142.0,3895.0
2015-07-02,1,13482.0,17013.0,13897.0,3520.0
2015-07-02,2,13040.0,16727.0,13543.0,3672.0
2015-07-02,3,12824.0,16655.0,13280.0,3820.0
2015-07-02,4,12500.0,16544.0,12839.0,4030.0
2015-07-02,5,11672.0,15658.0,12040.0,3973.0
2015-07-02,6,10843.0,14926.0,11059.0,4074.0
2015-07-02,7,10002.0,14137.0,10174.0,4128.0
2015-07-02,8,13304.0,17772.0,13541.0,4456.0
2015-07-02,9,12637.0,17146.0,12821.0,4495.0
