Date,Hour,Demand,Net generation,Day-ahead demand forecast,Total interchange
2015-07-01,0,41578.0,41823.0,42967.5,238.5
2015-07-01,1,41578.0,41823.0,42967.5,238.5
2015-07-01,2,41578.0,41823.0,42967.5,238.5
2015-07-01,3,41578.0,41823.0,42967.5,238.5
2015-07-01,4,41578.0,41823.0,42967.5,238.5
2015-07-01,5,41578.0,41823.0,42967.5,238.5
2015-07-01,6,37456.0,37462.0,39708.0,6.0
2015-07-01,7,35119.0,35124.0,37338.0,4.0
2015-07-01,8,33638.0,33642.0,35697.0,5.0
2015-07-01,9,32798.0,32805.0,34772.0,6.0
2015-07-01,10,32805.0,32812.0,34773.0,7.0
2015-07-01,11,34121.0,34128.0,36046.0,7.0
2015-07-01,12,35894.0,35895.0,37819.0,1.0
2015-07-01,13,37403.0,37406.0,39136.0,3.0
2015-07-01,14,39964.0,40209.0,41521.0,245.0
2015-07-01,15,43192.0,43437.0,44414.0,245.0
2015-07-01,16,46593.0,46848.0,47943.0,255.0
2015-07-01,17,48829.0,49083.0,51438.0,253.0
2015-07-01,18,50231.0,50464.0,54203.0,232.0
2015-07-01,19,51645.0,52029.0,56880.0,383.0
2015-07-01,20,52622.0,53010.0,58753.0,387.0
2015-07-01,21,53774.0,54196.0,60003.0,421.0
2015-07-01,22,53665.0,54085.0,60513.0,420.0
2015-07-01,23,52925.0,53215.0,59714.0,290.0
2015-07-02,0,51756.0,52041.0,58359.0,284.0
2015-07-02,1,50171.0,50404.0,56030.0,233.0
2015-07-02,2,48655.0,48887.0,54174.0,231.0
2015-07-02,3,47667.0,47899.0,52900.0,231.0
2015-07-02,4,44629.0,44872.0,49820.0,243.0
2015-07-02,5,40754.0,40999.0,45902.0,245.0
2015-07-02,6,37547.0,37555.0,39000.0,7.0
2015-07-02,7,35199.0,35205.0,36959.0,6.0
2015-07-02,8,33637.0,33702.0,35548.0,64.0
2015-07-02,9,32759.0,32883.0,34790.0,123.0
2015-07-02,10,32536.0,32844.0,34749.0,308.0
